method,scenario,n_masked,freq_gt,freq_pred,bias,precision,recall,f1,dry_acc,csi,rmse_wet,mae_wet,rmse_all,mae_all,tp,fp,fn,tn
clean_Precip2Stage_seed42,10pct,1115,0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.8783,0.5898,7.718,4.2323,4.6012,1.5079,266,92,93,664
clean_AmountRF_seed42,10pct,1115,0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.8783,0.5898,5.135,3.174,3.1038,1.2652,266,92,93,664
clean_Precip2Stage_seed42,20pct,2230,0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.889,0.6395,8.8391,5.2311,5.3108,1.921,596,162,174,1298
clean_AmountRF_seed42,20pct,2230,0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.889,0.6395,4.7934,3.1453,3.061,1.3339,596,162,174,1298
clean_Precip2Stage_seed42,block7d,2070,0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.9052,0.6266,9.4228,5.3476,5.4117,1.7968,495,134,161,1280
clean_AmountRF_seed42,block7d,2070,0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.9052,0.6266,4.5768,3.0963,2.7805,1.1881,495,134,161,1280
clean_Precip2Stage_seed42,block30d,2020,0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.8808,0.6116,9.4373,5.6435,5.3549,1.8641,485,166,142,1227
clean_AmountRF_seed42,block30d,2020,0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.8808,0.6116,5.5817,3.4488,3.3983,1.3547,485,166,142,1227
clean_Precip2Stage_seed123,10pct,1115,0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.8783,0.5898,7.6976,4.357,4.5619,1.548,266,92,93,664
clean_AmountRF_seed123,10pct,1115,0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.8783,0.5898,5.1281,3.1669,3.0974,1.2613,266,92,93,664
clean_Precip2Stage_seed123,20pct,2230,0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.889,0.6395,9.201,5.3702,5.5403,1.9874,596,162,174,1298
clean_AmountRF_seed123,20pct,2230,0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.889,0.6395,4.8061,3.1553,3.0742,1.3379,596,162,174,1298
clean_Precip2Stage_seed123,block7d,2070,0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.9052,0.6266,9.4168,5.449,5.4157,1.8329,495,134,161,1280
clean_AmountRF_seed123,block7d,2070,0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.9052,0.6266,4.6043,3.1036,2.7944,1.1888,495,134,161,1280
clean_Precip2Stage_seed123,block30d,2020,0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.8808,0.6116,9.3964,5.7188,5.3445,1.8974,485,166,142,1227
clean_AmountRF_seed123,block30d,2020,0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.8808,0.6116,5.6253,3.4589,3.4315,1.3588,485,166,142,1227
clean_Precip2Stage_seed456,10pct,1115,0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.8783,0.5898,7.922,4.4024,4.6443,1.5511,266,92,93,664
clean_AmountRF_seed456,10pct,1115,0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.8783,0.5898,5.0939,3.1444,3.0825,1.2558,266,92,93,664
clean_Precip2Stage_seed456,20pct,2230,0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.889,0.6395,9.03,5.4054,5.4315,1.9902,596,162,174,1298
clean_AmountRF_seed456,20pct,2230,0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.889,0.6395,4.8336,3.1661,3.0865,1.342,596,162,174,1298
clean_Precip2Stage_seed456,block7d,2070,0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.9052,0.6266,9.6727,5.4594,5.5623,1.8342,495,134,161,1280
clean_AmountRF_seed456,block7d,2070,0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.9052,0.6266,4.6151,3.1205,2.7983,1.1948,495,134,161,1280
clean_Precip2Stage_seed456,block30d,2020,0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.8808,0.6116,9.7125,5.8304,5.5487,1.9393,485,166,142,1227
clean_AmountRF_seed456,block30d,2020,0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.8808,0.6116,5.6143,3.47,3.4234,1.3627,485,166,142,1227
