scenario,seed,method,n_masked,n_true_dry,false_wet_rate,median_pred_true_dry,mean_pred_true_dry,p95_pred_true_dry,share_0_0p1,share_0p1_1,share_1_5,share_gt_5
10pct,deterministic,mean,1115,756,1.0,4.0289,4.0289,4.0289,0.0,0.0,1.0,0.0
10pct,deterministic,linear,1115,756,0.167989,0.0,0.3385,2.4,0.76455,0.146825,0.071429,0.017196
10pct,deterministic,knn,1115,756,0.996032,0.9,1.5672,5.71,0.003968,0.691799,0.246032,0.058201
10pct,deterministic,mice,1115,756,0.996032,0.902,1.7793,6.1975,0.003968,0.551587,0.357143,0.087302
10pct,42,WGAN-GP_raw,1115,756,1.0,1.121,1.3554,2.5938,0.0,0.406085,0.589947,0.003968
10pct,42,Precip2Stage,1115,756,0.121693,0.0,0.6521,2.9741,0.878307,0.041005,0.047619,0.033069
10pct,42,DLPIF,1115,756,0.121693,0.0,0.3588,2.4329,0.878307,0.013228,0.09127,0.017196
10pct,123,SAITS,1115,756,0.199735,,,,0.797619,0.145503,0.05291,0.001323
10pct,42,SAITS,1115,756,0.256614,,,,0.740741,0.190476,0.063492,0.002646
10pct,7,SAITS,1115,756,0.354497,,,,0.642857,0.259259,0.095238,0.0
20pct,deterministic,mean,2230,1460,1.0,4.0289,4.0289,4.0289,0.0,0.0,1.0,0.0
20pct,deterministic,linear,2230,1460,0.185616,0.0,0.4134,2.4,0.758904,0.152055,0.063699,0.025342
20pct,deterministic,knn,2230,1460,0.995205,0.9,1.4413,4.702,0.004795,0.707534,0.241781,0.04589
20pct,deterministic,mice,2230,1460,0.999315,0.934,1.8252,6.1163,0.000685,0.539041,0.382192,0.078082
20pct,42,WGAN-GP_raw,2230,1460,1.0,1.1016,1.3224,2.6784,0.0,0.420548,0.577397,0.002055
20pct,42,Precip2Stage,2230,1460,0.110959,0.0,0.6007,2.8247,0.889041,0.036301,0.041781,0.032877
20pct,42,DLPIF,2230,1460,0.110959,0.0,0.3785,2.849,0.889041,0.010959,0.082192,0.017808
20pct,123,SAITS,2230,1460,0.241096,,,,0.756849,0.19726,0.043836,0.0
20pct,42,SAITS,2230,1460,0.336301,,,,0.661644,0.271918,0.063014,0.00137
20pct,7,SAITS,2230,1460,0.467808,,,,0.530137,0.372603,0.093836,0.00137
block7d,deterministic,mean,2070,1414,1.0,4.0289,4.0289,4.0289,0.0,0.0,1.0,0.0
block7d,deterministic,linear,2070,1414,0.254597,0.0,0.4198,2.8262,0.726308,0.175389,0.074965,0.023338
block7d,deterministic,knn,2070,1414,0.993635,0.9,1.5323,5.12,0.006365,0.714286,0.227723,0.051627
block7d,deterministic,mice,2070,1414,0.996464,0.888,1.7392,6.2293,0.003536,0.567893,0.350778,0.077793
block7d,42,WGAN-GP_raw,2070,1414,1.0,1.0992,1.3323,2.6898,0.0,0.422914,0.574965,0.002122
block7d,42,Precip2Stage,2070,1414,0.094767,0.0,0.5093,2.0171,0.905233,0.031117,0.033946,0.029703
block7d,42,DLPIF,2070,1414,0.094767,0.0,0.3028,2.4128,0.905233,0.008487,0.071429,0.014851
block7d,123,SAITS,2070,1414,0.253182,0.0003,0.1681,0.9674,0.746818,0.204385,0.048798,0.0
block7d,42,SAITS,2070,1414,0.335926,0.0389,0.2163,1.097,0.663366,0.277935,0.057992,0.000707
block7d,7,SAITS,2070,1414,0.447666,0.0696,0.321,1.5763,0.551627,0.354314,0.093352,0.000707
block30d,deterministic,mean,2020,1393,1.0,4.0289,4.0289,4.0289,0.0,0.0,1.0,0.0
block30d,deterministic,linear,2020,1393,0.290022,0.0,0.7646,4.9445,0.709261,0.12491,0.118449,0.04738
block30d,deterministic,knn,2020,1393,0.989232,0.9,1.4127,4.808,0.010768,0.707107,0.234745,0.04738
block30d,deterministic,mice,2020,1393,0.994257,0.886,1.7565,6.3308,0.005743,0.566403,0.353912,0.073941
block30d,42,WGAN-GP_raw,2020,1393,1.0,1.1434,1.3848,2.8584,0.0,0.399139,0.597272,0.003589
block30d,42,Precip2Stage,2020,1393,0.118449,0.0,0.7699,4.0498,0.880833,0.03733,0.041637,0.040201
block30d,42,DLPIF,2020,1393,0.119167,0.0,0.412,2.6758,0.880833,0.012204,0.083991,0.022972
block30d,123,SAITS,2020,1393,0.365398,0.0284,0.2521,1.2181,0.634602,0.292175,0.071788,0.001436
block30d,42,SAITS,2020,1393,0.397703,0.0619,0.2656,1.4012,0.602297,0.32089,0.075377,0.001436
block30d,7,SAITS,2020,1393,0.563532,0.1469,0.4391,1.9119,0.436468,0.426418,0.136396,0.000718
