method,scenario,seed,pearson_amount_corr_mae,spearman_amount_corr_mae,wet_occurrence_corr_mae
DLPIF,10pct,42,0.024366433563362527,0.024714246065108785,0.03040483176590118
DLPIF,20pct,42,0.05923800465886394,0.04535366294827766,0.05152363958380094
DLPIF,block30d,42,0.054887444085375346,0.03904561358591222,0.039585271319276714
DLPIF,block7d,42,0.02876096523799308,0.03188479561859264,0.03522934530252264
DLPIF,10pct,42,0.022024836160084393,0.02588173957099423,0.03181504245568906
DLPIF,20pct,42,0.04703172965533877,0.004612376233899651,0.00397417596696605
knn,10pct,deterministic,0.046349856611079744,0.11874451186644598,0.1455879491652346
knn,20pct,deterministic,0.09097973986614023,0.2033344110985985,0.25345023642874787
knn,block30d,deterministic,0.013882769265956293,0.06412313914819674,0.07821032669062726
knn,block7d,deterministic,0.05044289707151444,0.029012967765608005,0.039378475171554905
knn,10pct,deterministic,0.046349856611079744,0.11874451186644598,0.1455879491652346
knn,20pct,deterministic,0.09097973986614023,0.2033344110985985,0.25345023642874787
linear,10pct,deterministic,0.024394741607289966,0.0234740669088494,0.028577847507062642
linear,20pct,deterministic,0.06796297358695186,0.040206583867354484,0.044645100649435776
linear,block30d,deterministic,0.056106528223733354,0.059016223694850746,0.06871161620042204
linear,block7d,deterministic,0.021406516370833406,0.0519870900469902,0.06267660824500336
linear,10pct,deterministic,0.024394741607289966,0.0234740669088494,0.028577847507062642
linear,20pct,deterministic,0.06796297358695186,0.040206583867354484,0.044645100649435776
mean,10pct,deterministic,0.07326272440538543,0.18456000442752118,0.14660095625082104
mean,20pct,deterministic,0.1522685517820521,0.3106049936299283,0.2545896398244159
mean,block30d,deterministic,0.033710035920293736,0.08989484380118035,0.08363954054421778
mean,block7d,deterministic,0.02328295786790281,0.03985485790615519,0.04069148370672424
mean,10pct,deterministic,0.07326272440538543,0.18456000442752118,0.14660095625082104
mean,20pct,deterministic,0.1522685517820521,0.3106049936299283,0.2545896398244159
mice,10pct,deterministic,0.03858161054985786,0.12342623619030833,0.1458408371238708
mice,20pct,deterministic,0.08045784231923915,0.20910828012266836,0.25473090283074656
mice,block30d,deterministic,0.020428072736555076,0.0751937243638055,0.08093045348603943
mice,block7d,deterministic,0.02411432647929468,0.03418679424260982,0.040105021011974294
mice,10pct,deterministic,0.03858161054985786,0.12342623619030833,0.1458408371238708
mice,20pct,deterministic,0.08045784231923915,0.20910828012266836,0.25473090283074656
Precip2Stage,10pct,42,0.06458456334073275,0.017743723416949353,0.03040483176590118
Precip2Stage,20pct,42,0.1297683214597284,0.028530636581556263,0.05152363958380094
Precip2Stage,block30d,42,0.01648044993783974,0.029636036237673635,0.03939110480233363
Precip2Stage,block7d,42,0.033673640150881236,0.01831072729283704,0.03522934530252264
SAITS,10pct,123,0.0399568094675277,0.02349103539649409,0.013239500321280942
SAITS,10pct,42,0.03905449898737698,0.03536593778287137,0.017025867448846838
SAITS,10pct,7,0.03668739727366623,0.039277709258211,0.028427837139378243
SAITS,20pct,123,0.09969558593436033,0.06679938394562773,0.04399569680376838
SAITS,20pct,42,0.09473418710366797,0.08028055135973244,0.06915979695897516
SAITS,20pct,7,0.09130814613875522,0.09637507527655921,0.097811590595961
SAITS,block30d,123,0.01646160385587982,0.0202065114181339,0.018684805878028437
SAITS,block30d,42,0.016717999377736343,0.02879416897773281,0.017184662288538894
SAITS,block30d,7,0.016258353825192844,0.03481257926621336,0.031092311458258675
SAITS,block7d,123,0.023917531240185603,0.00966623845408382,0.013236635082264228
SAITS,block7d,42,0.023755116271540488,0.00932495271592182,0.010045901293478968
SAITS,block7d,7,0.023972178389016923,0.011838438470530677,0.014002610314280775
SAITS,10pct,123,0.0399568094675277,0.02349103539649409,0.013239500321280942
SAITS,10pct,42,0.03905449898737698,0.03536593778287137,0.017025867448846838
SAITS,10pct,7,0.03668739727366623,0.039277709258211,0.028427837139378243
SAITS,20pct,123,0.09969558593436033,0.06679938394562773,0.04399569680376838
SAITS,20pct,42,0.09473418710366797,0.08028055135973244,0.06915979695897516
SAITS,20pct,7,0.09130814613875522,0.09637507527655921,0.097811590595961
WGAN-GP_raw,10pct,42,0.05248529257661308,0.1302508124483047,0.14660095625082104
WGAN-GP_raw,20pct,42,0.12204265529526093,0.22229172269428102,0.2545896398244159
WGAN-GP_raw,block30d,42,0.011518633193080921,0.07102937349449123,0.08363954054421778
WGAN-GP_raw,block7d,42,0.03160764332216497,0.03269500770456113,0.04069148370672424
WGAN-GP_raw,10pct,42,0.05248529257661308,0.1302508124483047,0.14660095625082104
WGAN-GP_raw,20pct,42,0.12204265529526093,0.22229172269428102,0.2545896398244159
