method,scenario,thresh_mm,n_masked,freq_gt,freq_pred,bias,precision,recall,f1,dry_accuracy,csi,tp,fp,fn,tn
WGAN-GP_modeB_seed123,10pct,0.1,1115,0.322,1.0,0.678,0.322,1.0,0.4871,0.0,0.322,359,756,0,0
WGAN-GP_modeB_seed123+Precip2Stage,10pct,0.1,1115,0.322,0.1686,-0.1534,0.8936,0.468,0.6143,0.9735,0.4433,168,20,191,736
WGAN-GP_modeB_seed123+PrecipFix,10pct,0.1,1115,0.322,0.3274,0.0054,0.3616,0.3677,0.3646,0.6918,0.223,132,233,227,523
WGAN-GP_modeB_seed42,10pct,0.1,1115,0.322,1.0,0.678,0.322,1.0,0.4871,0.0,0.322,359,756,0,0
WGAN-GP_modeB_seed42+AmountRF,10pct,0.1,1115,0.322,0.3265,0.0045,0.7445,0.7549,0.7497,0.877,0.5996,271,93,88,663
WGAN-GP_modeB_seed42_amountrf+Precip2Stage,10pct,0.1,1115,0.322,0.1695,-0.1525,0.8995,0.4735,0.6204,0.9749,0.4497,170,19,189,737
WGAN-GP_modeB_seed42+Precip2Stage,10pct,0.1,1115,0.322,0.1695,-0.1525,0.8995,0.4735,0.6204,0.9749,0.4497,170,19,189,737
WGAN-GP_modeB_seed42+PrecipFinal,10pct,0.1,1115,0.322,0.3265,0.0045,0.7445,0.7549,0.7497,0.877,0.5996,271,93,88,663
WGAN-GP_modeB_seed42_precipfinal+Precip2Stage,10pct,0.1,1115,0.322,0.1695,-0.1525,0.8995,0.4735,0.6204,0.9749,0.4497,170,19,189,737
WGAN-GP_modeB_seed42+PrecipFix,10pct,0.1,1115,0.322,0.3229,0.0009,0.3694,0.3705,0.37,0.6997,0.227,133,227,226,529
WGAN-GP_modeB_seed456,10pct,0.1,1115,0.322,1.0,0.678,0.322,1.0,0.4871,0.0,0.322,359,756,0,0
WGAN-GP_modeB_seed456+Precip2Stage,10pct,0.1,1115,0.322,0.1695,-0.1525,0.8942,0.4708,0.6168,0.9735,0.4459,169,20,190,736
WGAN-GP_modeB_seed456+PrecipFix,10pct,0.1,1115,0.322,0.3291,0.0072,0.3297,0.337,0.3333,0.6746,0.2,121,246,238,510
WGAN-GP_seed123,10pct,0.1,1115,0.322,1.0,0.678,0.322,1.0,0.4871,0.0,0.322,359,756,0,0
WGAN-GP_seed123+Precip2Stage,10pct,0.1,1115,0.322,0.1686,-0.1534,0.8936,0.468,0.6143,0.9735,0.4433,168,20,191,736
WGAN-GP_seed123+PrecipFix,10pct,0.1,1115,0.322,0.2915,-0.0305,0.3569,0.3231,0.3392,0.7235,0.2042,116,209,243,547
WGAN-GP_seed42,10pct,0.1,1115,0.322,1.0,0.678,0.322,1.0,0.4871,0.0,0.322,359,756,0,0
WGAN-GP_seed42+Precip2Stage,10pct,0.1,1115,0.322,0.1695,-0.1525,0.8995,0.4735,0.6204,0.9749,0.4497,170,19,189,737
WGAN-GP_seed42+PrecipFix,10pct,0.1,1115,0.322,0.3094,-0.0126,0.3739,0.3593,0.3665,0.7143,0.2243,129,216,230,540
WGAN-GP_seed456,10pct,0.1,1115,0.322,1.0,0.678,0.322,1.0,0.4871,0.0,0.322,359,756,0,0
WGAN-GP_seed456+Precip2Stage,10pct,0.1,1115,0.322,0.1695,-0.1525,0.8942,0.4708,0.6168,0.9735,0.4459,169,20,190,736
WGAN-GP_seed456+PrecipFix,10pct,0.1,1115,0.322,0.3229,0.0009,0.3722,0.3733,0.3727,0.7011,0.2291,134,226,225,530
WGAN-GP_seq30_seed42,10pct,0.1,1115,0.322,1.0,0.678,0.322,1.0,0.4871,0.0,0.322,359,756,0,0
WGAN-GP_seq30_seed42+Precip2Stage,10pct,0.1,1115,0.322,0.1695,-0.1525,0.8995,0.4735,0.6204,0.9749,0.4497,170,19,189,737
WGAN-GP_seq30_seed42+PrecipFix,10pct,0.1,1115,0.322,0.3094,-0.0126,0.3739,0.3593,0.3665,0.7143,0.2243,129,216,230,540
WGAN-GP_seq90_seed42,10pct,0.1,1115,0.322,1.0,0.678,0.322,1.0,0.4871,0.0,0.322,359,756,0,0
WGAN-GP_seq90_seed42+Precip2Stage,10pct,0.1,1115,0.322,0.1695,-0.1525,0.8995,0.4735,0.6204,0.9749,0.4497,170,19,189,737
WGAN-GP_seq90_seed42+PrecipFix,10pct,0.1,1115,0.322,1.0,0.678,0.322,1.0,0.4871,0.0,0.322,359,756,0,0
mean,10pct,0.1,1115,0.322,1.0,0.678,0.322,1.0,0.4871,0.0,0.322,359,756,0,0
linear,10pct,0.1,1115,0.322,0.365,0.043,0.688,0.7799,0.7311,0.832,0.5761,280,127,79,629
knn,10pct,0.1,1115,0.322,0.9973,0.6753,0.3228,1.0,0.4881,0.004,0.3228,359,753,0,3
mice,10pct,0.1,1115,0.322,0.9973,0.6753,0.3228,1.0,0.4881,0.004,0.3228,359,753,0,3
WGAN-GP_modeB_seed123,20pct,0.1,2230,0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.0,0.3453,770,1460,0,0
WGAN-GP_modeB_seed123+Precip2Stage,20pct,0.1,2230,0.3453,0.3462,0.0009,0.9521,0.9545,0.9533,0.9747,0.9108,735,37,35,1423
WGAN-GP_modeB_seed123+PrecipFix,20pct,0.1,2230,0.3453,0.33,-0.0152,0.4158,0.3974,0.4064,0.7055,0.255,306,430,464,1030
WGAN-GP_modeB_seed42,20pct,0.1,2230,0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.0,0.3453,770,1460,0,0
WGAN-GP_modeB_seed42+AmountRF,20pct,0.1,2230,0.3453,0.3435,-0.0018,0.9843,0.9792,0.9818,0.9918,0.9642,754,12,16,1448
WGAN-GP_modeB_seed42_amountrf+Precip2Stage,20pct,0.1,2230,0.3453,0.3444,-0.0009,0.9557,0.9532,0.9545,0.9767,0.9129,734,34,36,1426
WGAN-GP_modeB_seed42+Precip2Stage,20pct,0.1,2230,0.3453,0.3444,-0.0009,0.9557,0.9532,0.9545,0.9767,0.9129,734,34,36,1426
WGAN-GP_modeB_seed42+PrecipFinal,20pct,0.1,2230,0.3453,0.3435,-0.0018,0.9843,0.9792,0.9818,0.9918,0.9642,754,12,16,1448
WGAN-GP_modeB_seed42_precipfinal+Precip2Stage,20pct,0.1,2230,0.3453,0.3444,-0.0009,0.9557,0.9532,0.9545,0.9767,0.9129,734,34,36,1426
