method,scenario,seed,n_evaluated,freq_gt,freq_pred,signed_frequency_bias,precision,recall,f1,csi,rmse,mae,rmse_wet,mae_wet,mae_p95,rmse_p95,tp,fp,fn,tn,source_prediction_file,false_wet_rate
mean,10pct,deterministic,416,0.3389,1.0,0.6611,0.3389,1.0,0.5063,0.3389,4.1948,2.4136,6.8492,4.0251,23.83,24.83,141,275,0,0,baseline_results.pkl,1.0
mean,20pct,deterministic,833,0.3673,1.0,0.6327,0.3673,1.0,0.5373,0.3673,3.8511,2.3028,6.0006,3.55,21.75,22.09,306,527,0,0,baseline_results.pkl,1.0
mean,block7d,deterministic,840,0.3262,1.0,0.6738,0.3262,1.0,0.4919,0.3262,4.0712,2.3492,6.7464,3.9236,24.89,25.85,274,566,0,0,baseline_results.pkl,1.0
mean,block30d,deterministic,840,0.3262,1.0,0.6738,0.3262,1.0,0.4919,0.3262,4.6348,2.4924,7.783,4.3662,26.65,27.58,274,566,0,0,baseline_results.pkl,1.0
mean,netblock30d,deterministic,840,0.2548,1.0,0.7452,0.2548,1.0,0.4061,0.2548,3.1073,2.0722,5.5203,3.5136,21.68,22.07,214,626,0,0,baseline_results.pkl,1.0
mean,mar_meteo,deterministic,417,0.3189,1.0,0.6811,0.3189,1.0,0.4836,0.3189,4.5814,2.2874,7.7643,3.7682,29.1,33.03,133,284,0,0,baseline_results.pkl,1.0
mean,mnar_wet,deterministic,417,0.5564,1.0,0.4436,0.5564,1.0,0.7149,0.5564,5.587,3.0917,7.3539,4.2978,23.64,23.95,232,185,0,0,baseline_results.pkl,1.0
mean,mnar_intensity_moderate,deterministic,417,0.5612,1.0,0.4388,0.5612,1.0,0.7189,0.5612,8.0096,4.6427,10.5992,7.0398,24.83,26.25,234,183,0,0,baseline_results.pkl,1.0
mean,mnar_intensity_severe,deterministic,417,0.7986,1.0,0.2014,0.7986,1.0,0.888,0.7986,11.2283,7.8833,12.5385,9.4669,24.71,25.96,333,84,0,0,baseline_results.pkl,1.0
linear,10pct,deterministic,416,0.3389,0.4952,0.1562,0.568,0.8298,0.6744,0.5087,4.3383,1.8543,6.9221,4.1344,23.2,24.55,117,89,24,186,baseline_results.pkl,0.3236
linear,20pct,deterministic,833,0.3673,0.509,0.1417,0.5849,0.8105,0.6795,0.5145,4.5852,2.0239,6.9678,4.2306,18.69,19.18,248,176,58,351,baseline_results.pkl,0.334
linear,block7d,deterministic,840,0.3262,0.3869,0.0607,0.4862,0.5766,0.5275,0.3583,4.8991,2.3271,7.4242,4.8759,21.99,23.55,158,167,116,399,baseline_results.pkl,0.2951
linear,block30d,deterministic,840,0.3262,0.425,0.0988,0.3641,0.4745,0.412,0.2595,5.8614,2.8695,8.6004,5.4383,26.64,27.58,130,227,144,339,baseline_results.pkl,0.4011
linear,netblock30d,deterministic,840,0.2548,0.3631,0.1083,0.4426,0.6308,0.5202,0.3516,3.1352,1.4288,5.5954,3.7356,21.73,22.44,135,170,79,456,baseline_results.pkl,0.2716
linear,mar_meteo,deterministic,417,0.3189,0.4604,0.1415,0.5938,0.8571,0.7015,0.5403,4.9804,1.9702,8.1024,4.5538,27.51,31.73,114,78,19,206,baseline_results.pkl,0.2746
linear,mnar_wet,deterministic,417,0.5564,0.6019,0.0456,0.7928,0.8578,0.824,0.7007,5.529,2.7408,7.2825,4.4679,21.94,22.45,199,52,33,133,baseline_results.pkl,0.2811
linear,mnar_intensity_moderate,deterministic,417,0.5612,0.6163,0.0552,0.7782,0.8547,0.8147,0.6873,7.9276,4.063,10.4886,6.7957,24.91,26.49,200,57,34,126,baseline_results.pkl,0.3115
linear,mnar_intensity_severe,deterministic,417,0.7986,0.7266,-0.0719,0.9076,0.8258,0.8648,0.7618,11.131,7.5657,12.4479,9.39,24.34,25.68,275,28,58,56,baseline_results.pkl,0.3333
knn,10pct,deterministic,416,0.3389,0.5529,0.2139,0.5304,0.8652,0.6577,0.49,4.4537,1.9656,6.9161,4.1,21.61,23.37,122,108,19,167,baseline_results.pkl,0.3927
knn,20pct,deterministic,833,0.3673,0.497,0.1297,0.5797,0.7843,0.6667,0.5,3.777,1.8139,5.6506,3.6452,17.04,17.92,240,174,66,353,baseline_results.pkl,0.3302
knn,block7d,deterministic,840,0.3262,0.5048,0.1786,0.5189,0.8029,0.6304,0.4603,3.9217,1.7813,6.2075,3.8305,20.54,22.35,220,204,54,362,baseline_results.pkl,0.3604
knn,block30d,deterministic,840,0.3262,0.4964,0.1702,0.542,0.8248,0.6541,0.486,4.1946,1.8377,6.9445,4.3353,21.07,22.9,226,191,48,375,baseline_results.pkl,0.3375
knn,netblock30d,deterministic,840,0.2548,1.0,0.7452,0.2548,1.0,0.4061,0.2548,3.0955,2.0651,5.5148,3.5168,21.76,22.13,214,626,0,0,baseline_results.pkl,1.0
knn,mar_meteo,deterministic,417,0.3189,0.518,0.199,0.5231,0.8496,0.6476,0.4788,4.3777,1.7211,7.2339,3.9188,24.03,28.06,113,103,20,181,baseline_results.pkl,0.3627
knn,mnar_wet,deterministic,417,0.5564,0.6547,0.0983,0.7216,0.8491,0.7802,0.6396,5.1564,2.7206,6.6958,4.2729,18.17,18.62,197,76,35,109,baseline_results.pkl,0.4108
knn,mnar_intensity_moderate,deterministic,417,0.5612,0.6427,0.0815,0.75,0.859,0.8008,0.6678,7.0865,3.8508,9.296,6.2832,20.12,22.09,201,67,33,116,baseline_results.pkl,0.3661
knn,mnar_intensity_severe,deterministic,417,0.7986,0.7914,-0.0072,0.9182,0.9099,0.914,0.8417,9.4528,6.1669,10.5586,7.5965,20.21,22.13,303,27,30,57,baseline_results.pkl,0.3214
mice,10pct,deterministic,416,0.3389,0.7356,0.3966,0.4412,0.9574,0.604,0.4327,4.1639,2.1283,6.4634,4.0912,20.53,22.12,135,171,6,104,baseline_results.pkl,0.6218
mice,20pct,deterministic,833,0.3673,0.7347,0.3673,0.469,0.9379,0.6253,0.4548,3.6063,1.8684,5.4377,3.5405,15.74,16.94,287,325,19,202,baseline_results.pkl,0.6167
