method_a,method_b,metric,scenario,n_masked,n_blocks,value_a,value_b,paired_diff,ci_low,ci_high,p_value,significant_at_05
Linear,AmountRF_DLPIF,f1,10pct,416,364,0.6744,0.8082,0.1338,0.0718,0.1981,0.0,True
Linear,AmountRF_DLPIF,f1,block30d,840,28,0.412,0.8014,0.3894,0.2884,0.5167,0.0,True
SAITS,AmountRF_DLPIF,rmse_wet,10pct,416,364,7.2739,5.4236,-1.8503,-2.711,-1.0009,0.0,True
SAITS,AmountRF_DLPIF,rmse_wet,block30d,840,28,8.3295,6.0672,-2.2623,-2.7812,-1.643,0.0,True
SAITS,AmountRF_DLPIF,rmse_p95,10pct,416,364,25.81,17.62,-8.19,-12.5207,-5.71,0.003,True
SingleStageRF,AmountRF_DLPIF,f1,10pct,416,364,0.685,0.8082,0.1232,0.0719,0.1747,0.0,True
SingleStageRF,AmountRF_DLPIF,f1,block30d,840,28,0.633,0.8014,0.1684,0.1139,0.2294,0.0,True
DirectTwoStageRF,MissingnessIndicatorRF,f1,10pct,416,364,0.8082,0.8069,-0.0013,-0.0147,0.0107,0.9294,False
DirectTwoStageRF,MissingnessIndicatorRF,f1,20pct,833,663,0.7674,0.7629,-0.0045,-0.0189,0.0098,0.5324,False
DirectTwoStageRF,MissingnessIndicatorRF,f1,block7d,840,120,0.7875,0.7821,-0.0054,-0.0215,0.0088,0.495,False
DirectTwoStageRF,MissingnessIndicatorRF,f1,block30d,840,28,0.8014,0.8,-0.0014,-0.0097,0.0076,0.7826,False
DirectTwoStageRF,Linear,f1,netblock30d,840,28,0.0,0.5202,0.5202,0.368,0.6129,0.0,True
DirectTwoStageRF,SAITS,f1,netblock30d,840,28,0.0,0.4017,0.4017,0.3027,0.4828,0.0,True
