method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error,n_dry_spells_obs,n_dry_spells_pred
Mean,10pct,deterministic,17155,45.0,30.0,15.0,5.758064516129032,3.86144578313253,1.8966187329965019,18.0,9.0,9.0,124,166
Mean,10pct,deterministic,17704,44.0,31.0,13.0,5.392307692307693,4.006329113924051,1.385978578383642,18.0,12.0,6.0,130,158
Mean,10pct,deterministic,17748,44.0,31.0,13.0,5.906779661016949,4.084967320261438,1.8218123407555114,18.299999999999983,11.400000000000006,6.899999999999977,118,153
Mean,10pct,deterministic,17750,48.0,32.0,16.0,5.582677165354331,4.0186335403726705,1.56404362498166,18.0,13.0,5.0,127,161
Mean,20pct,deterministic,17155,45.0,26.0,19.0,5.758064516129032,3.2349726775956285,2.5230918385334036,18.0,8.0,10.0,124,183
Mean,20pct,deterministic,17704,44.0,15.0,29.0,5.392307692307693,3.0372340425531914,2.3550736497545013,18.0,7.650000000000006,10.349999999999994,130,188
Mean,20pct,deterministic,17748,44.0,17.0,27.0,5.906779661016949,3.064516129032258,2.842263531984691,18.299999999999983,7.75,10.549999999999983,118,186
Mean,20pct,deterministic,17750,48.0,18.0,30.0,5.582677165354331,2.876923076923077,2.7057540884312536,18.0,9.0,9.0,127,195
Mean,block7d,deterministic,17155,45.0,24.0,21.0,5.758064516129032,4.8474576271186445,0.9106068890103876,18.0,16.299999999999983,1.700000000000017,124,118
Mean,block7d,deterministic,17704,44.0,26.0,18.0,5.392307692307693,4.428571428571429,0.9637362637362639,18.0,14.0,4.0,130,126
Mean,block7d,deterministic,17748,44.0,35.0,9.0,5.906779661016949,4.807017543859649,1.0997621171573,18.299999999999983,15.349999999999994,2.9499999999999886,118,114
Mean,block7d,deterministic,17750,48.0,38.0,10.0,5.582677165354331,4.848739495798319,0.7339376695560116,18.0,15.199999999999989,2.8000000000000114,127,119
Mean,block30d,deterministic,17155,45.0,45.0,0.0,5.758064516129032,5.68,0.07806451612903231,18.0,18.099999999999994,0.09999999999999432,124,100
Mean,block30d,deterministic,17704,44.0,44.0,0.0,5.392307692307693,5.887755102040816,0.4954474097331234,18.0,18.749999999999957,0.7499999999999574,130,98
Mean,block30d,deterministic,17748,44.0,40.0,4.0,5.906779661016949,5.46078431372549,0.4459953472914586,18.299999999999983,19.899999999999977,1.5999999999999943,118,102
Mean,block30d,deterministic,17750,48.0,48.0,0.0,5.582677165354331,5.027272727272727,0.5554044380816032,18.0,18.0,0.0,127,110
Mean,netblock30d,deterministic,17155,45.0,30.0,15.0,5.758064516129032,5.036036036036036,0.7220284800929964,18.0,17.5,0.5,124,111
Mean,netblock30d,deterministic,17704,44.0,37.0,7.0,5.392307692307693,4.64957264957265,0.7427350427350428,18.0,16.0,2.0,130,117
Mean,netblock30d,deterministic,17748,44.0,40.0,4.0,5.906779661016949,5.132075471698113,0.774704189318836,18.299999999999983,15.0,3.299999999999983,118,106
Mean,netblock30d,deterministic,17750,48.0,38.0,10.0,5.582677165354331,4.724137931034483,0.8585392343198475,18.0,16.25,1.75,127,116
Linear,10pct,deterministic,17155,45.0,45.0,0.0,5.758064516129032,5.783333333333333,0.025268817204301186,18.0,20.049999999999997,2.049999999999997,124,120
Linear,10pct,deterministic,17704,44.0,42.0,2.0,5.392307692307693,5.73109243697479,0.3387847446670973,18.0,18.0,0.0,130,119
Linear,10pct,deterministic,17748,44.0,45.0,1.0,5.906779661016949,6.39622641509434,0.4894467540773908,18.299999999999983,23.0,4.700000000000017,118,106
Linear,10pct,deterministic,17750,48.0,48.0,0.0,5.582677165354331,6.0,0.41732283464566944,18.0,18.399999999999977,0.39999999999997726,127,117
Linear,20pct,deterministic,17155,45.0,64.0,19.0,5.758064516129032,6.171171171171171,0.4131066550421387,18.0,22.5,4.5,124,111
Linear,20pct,deterministic,17704,44.0,43.0,1.0,5.392307692307693,6.203703703703703,0.8113960113960106,18.0,22.299999999999983,4.299999999999983,130,108
Linear,20pct,deterministic,17748,44.0,44.0,0.0,5.906779661016949,6.543689320388349,0.6369096593714003,18.299999999999983,25.799999999999983,7.5,118,103
Linear,20pct,deterministic,17750,48.0,48.0,0.0,5.582677165354331,6.2407407407407405,0.6580635753864099,18.0,28.249999999999957,10.249999999999957,127,108
Linear,block7d,deterministic,17155,45.0,48.0,3.0,5.758064516129032,6.98,1.2219354838709684,18.0,29.049999999999997,11.049999999999997,124,100
Linear,block7d,deterministic,17704,44.0,56.0,12.0,5.392307692307693,6.771428571428571,1.3791208791208787,18.0,26.0,8.0,130,105
Linear,block7d,deterministic,17748,44.0,56.0,12.0,5.906779661016949,6.52,0.6132203389830506,18.299999999999983,24.099999999999994,5.800000000000011,118,100
Linear,block7d,deterministic,17750,48.0,77.0,29.0,5.582677165354331,7.01980198019802,1.4371248148436893,18.0,26.0,8.0,127,101
Linear,block30d,deterministic,17155,45.0,53.0,8.0,5.758064516129032,7.229166666666667,1.471102150537635,18.0,29.0,11.0,124,96
Linear,block30d,deterministic,17704,44.0,68.0,24.0,5.392307692307693,7.574468085106383,2.18216039279869,18.0,37.349999999999994,19.349999999999994,130,94
Linear,block30d,deterministic,17748,44.0,56.0,12.0,5.906779661016949,6.838383838383838,0.9316041773668893,18.299999999999983,33.099999999999994,14.800000000000011,118,99
Linear,block30d,deterministic,17750,48.0,54.0,6.0,5.582677165354331,6.064814814814815,0.4821376494604843,18.0,21.299999999999983,3.299999999999983,127,108
