method,scenario,seed,n_evaluated,n_true_dry,false_wet_rate,median_pred_true_dry,mean_pred_true_dry,p95_pred_true_dry,mean_pred_given_false_wet,median_pred_given_false_wet,share_0_0p1,share_0p1_1,share_1_5,share_gt_5
Mean,10pct,deterministic,416,275,1.0,1.5146,1.5873,1.9319,1.5873,1.5146,0.0,0.0,1.0,0.0
Linear,10pct,deterministic,416,275,0.323636,0.0,0.6853,4.08,2.1146,1.3,0.676364,0.149091,0.141818,0.032727
KNN,10pct,deterministic,416,275,0.392727,0.04,0.8712,4.156,2.2006,1.18,0.607273,0.181818,0.170909,0.04
MICE,10pct,deterministic,416,275,0.621818,0.276,1.1219,4.9568,1.7891,1.096,0.378182,0.294545,0.276364,0.050909
SAITS,10pct,123,416,275,0.276364,0.0467,0.1594,0.7031,0.4803,0.3595,0.723636,0.254545,0.021818,0.0
SAITS,10pct,42,416,275,0.185455,0.0202,0.1031,0.5235,0.4704,0.3458,0.814545,0.163636,0.021818,0.0
SAITS,10pct,456,416,275,0.185455,0.0055,0.0929,0.5863,0.454,0.3191,0.814545,0.167273,0.018182,0.0
AmountRF_DLPIF,10pct,123,416,275,0.145455,0.0,0.4303,3.3612,2.9583,2.5791,0.854545,0.010909,0.109091,0.025455
AmountRF_DLPIF,10pct,42,416,275,0.12,0.0,0.3404,2.661,2.8366,2.4309,0.88,0.018182,0.087273,0.014545
AmountRF_DLPIF,10pct,456,416,275,0.134545,0.0,0.3878,3.1802,2.8827,2.5234,0.865455,0.007273,0.112727,0.014545
DirectTwoStageRF,10pct,123,416,275,0.145455,0.0,0.4303,3.3612,2.9583,2.5791,0.854545,0.010909,0.109091,0.025455
DirectTwoStageRF,10pct,42,416,275,0.12,0.0,0.3404,2.661,2.8366,2.4309,0.88,0.018182,0.087273,0.014545
DirectTwoStageRF,10pct,456,416,275,0.134545,0.0,0.3878,3.1802,2.8827,2.5234,0.865455,0.007273,0.112727,0.014545
SingleStageRF,10pct,123,416,275,0.461818,0.0773,0.4369,2.2066,0.9105,0.3794,0.538182,0.309091,0.149091,0.003636
MissingnessIndicatorRF,10pct,123,416,275,0.141818,0.0,0.4087,3.3304,2.8821,2.6378,0.858182,0.014545,0.112727,0.014545
WGANGP_raw,10pct,123,416,275,0.996364,0.528,0.7003,1.5665,0.7026,0.531,0.003636,0.821818,0.170909,0.003636
WGANGP_PrecipFix,10pct,123,416,275,0.261818,0.0,0.1085,0.2657,0.4146,0.2,0.738182,0.236364,0.025455,0.0
SingleStageRF,10pct,42,416,275,0.443636,0.0731,0.4353,2.1113,0.941,0.4115,0.556364,0.283636,0.152727,0.007273
MissingnessIndicatorRF,10pct,42,416,275,0.116364,0.0,0.3476,2.7026,2.9873,2.5133,0.883636,0.014545,0.083636,0.018182
WGANGP_raw,10pct,42,416,275,1.0,0.9684,1.2568,2.3917,1.2568,0.9684,0.0,0.509091,0.490909,0.0
WGANGP_PrecipFix,10pct,42,416,275,0.250909,0.0,0.0868,0.3535,0.3459,0.2,0.749091,0.225455,0.025455,0.0
SingleStageRF,10pct,456,416,275,0.450909,0.0826,0.438,2.2717,0.9324,0.3879,0.549091,0.301818,0.141818,0.007273
MissingnessIndicatorRF,10pct,456,416,275,0.152727,0.0,0.4457,3.2917,2.918,2.5466,0.847273,0.014545,0.112727,0.025455
WGANGP_raw,10pct,456,416,275,1.0,1.4748,1.3393,2.1689,1.3393,1.4748,0.0,0.363636,0.636364,0.0
WGANGP_PrecipFix,10pct,456,416,275,0.229091,0.0,0.0622,0.2,0.2717,0.2,0.770909,0.221818,0.007273,0.0
Mean,20pct,deterministic,833,527,1.0,1.5136,1.5786,1.9319,1.5786,1.5136,0.0,0.0,1.0,0.0
Linear,20pct,deterministic,833,527,0.333966,0.0,0.7425,4.47,2.2205,0.8333,0.666034,0.172676,0.11575,0.045541
KNN,20pct,deterministic,833,527,0.330171,0.0,0.7505,4.548,2.2483,1.16,0.669829,0.149905,0.136622,0.043643
MICE,20pct,deterministic,833,527,0.616698,0.252,0.8975,4.482,1.4393,0.696,0.383302,0.368121,0.206831,0.041746
SAITS,20pct,123,833,527,0.223909,0.0458,0.1227,0.5473,0.4129,0.3034,0.776091,0.210626,0.013283,0.0
