held_out_station,scenario,n_masked,f1,rmse_wet,signed_frequency_bias,precision,recall
17155,10pct,103,0.8116,5.0898,0.0874,0.7179,0.9333
17155,20pct,197,0.773,4.7592,0.066,0.7159,0.84
17155,block7d,210,0.863,4.7122,0.0476,0.8077,0.9265
17155,block30d,210,0.7397,6.3024,0.0857,0.6585,0.8438
17704,10pct,102,0.8684,7.4951,0.0784,0.7857,0.9706
17704,20pct,212,0.7901,4.4723,-0.0094,0.8,0.7805
17704,block7d,210,0.8108,4.6509,0.0667,0.7407,0.8955
17704,block30d,210,0.7872,6.1316,0.0762,0.7255,0.8605
17748,10pct,114,0.7692,6.1297,0.0614,0.7143,0.8333
17748,20pct,207,0.7692,4.6882,-0.0193,0.7895,0.75
17748,block7d,210,0.7385,4.4883,0.0381,0.6957,0.7869
17748,block30d,210,0.7792,5.6408,0.0667,0.7143,0.8571
17750,10pct,97,0.8451,3.989,0.0103,0.8333,0.8571
17750,20pct,217,0.7445,5.1952,-0.0046,0.75,0.7391
17750,block7d,210,0.7534,5.9142,-0.0476,0.8088,0.7051
17750,block30d,210,0.7818,6.8926,0.0095,0.7679,0.7963
