scenario,realization,mask_seed,method,seed,n_masked,n_extreme,f1,rmse_p95,mae_p95
10pct,0,9000,Linear,deterministic,416,4,0.7018,24.7,21.4
10pct,0,9000,AmountRF_DLPIF,42,416,4,0.73,20.36,18.51
10pct,0,9000,SAITS,42,416,4,0.6082,27.43,25.59
10pct,0,9000,AmountRF_DLPIF,123,416,4,0.7253,20.53,18.55
10pct,0,9000,SAITS,123,416,4,0.6379,27.15,25.29
10pct,0,9000,AmountRF_DLPIF,456,416,4,0.7224,20.59,18.79
10pct,0,9000,SAITS,456,416,4,0.5977,27.44,25.69
10pct,1,9001,Linear,deterministic,416,10,0.6646,29.25,25.47
10pct,1,9001,AmountRF_DLPIF,42,416,10,0.8015,21.36,18.83
10pct,1,9001,SAITS,42,416,10,0.6179,31.92,29.35
10pct,1,9001,AmountRF_DLPIF,123,416,10,0.7883,21.39,18.94
10pct,1,9001,SAITS,123,416,10,0.6476,31.68,29.12
10pct,1,9001,AmountRF_DLPIF,456,416,10,0.8,21.51,18.92
10pct,1,9001,SAITS,456,416,10,0.6861,31.76,29.22
10pct,2,9002,Linear,deterministic,416,0,0.639,,
10pct,2,9002,AmountRF_DLPIF,42,416,0,0.7823,,
10pct,2,9002,SAITS,42,416,0,0.6218,,
10pct,2,9002,AmountRF_DLPIF,123,416,0,0.7816,,
10pct,2,9002,SAITS,123,416,0,0.6644,,
10pct,2,9002,AmountRF_DLPIF,456,416,0,0.7809,,
10pct,2,9002,SAITS,456,416,0,0.6328,,
10pct,3,9003,Linear,deterministic,416,4,0.6928,25.67,22.6
10pct,3,9003,AmountRF_DLPIF,42,416,4,0.803,19.63,16.31
10pct,3,9003,SAITS,42,416,4,0.615,30.12,29.26
10pct,3,9003,AmountRF_DLPIF,123,416,4,0.7929,19.65,16.77
10pct,3,9003,SAITS,123,416,4,0.6709,29.96,29.09
10pct,3,9003,AmountRF_DLPIF,456,416,4,0.7985,19.13,16.09
10pct,3,9003,SAITS,456,416,4,0.6667,29.97,29.12
10pct,4,9004,Linear,deterministic,416,8,0.6625,30.8,27.36
10pct,4,9004,AmountRF_DLPIF,42,416,8,0.7773,19.13,16.19
10pct,4,9004,SAITS,42,416,8,0.6124,32.79,30.06
10pct,4,9004,AmountRF_DLPIF,123,416,8,0.7608,19.22,16.46
10pct,4,9004,SAITS,123,416,8,0.6801,32.63,29.91
10pct,4,9004,AmountRF_DLPIF,456,416,8,0.7773,19.26,16.23
10pct,4,9004,SAITS,456,416,8,0.6798,32.74,30.04
10pct,5,9005,Linear,deterministic,416,5,0.6852,22.35,22.07
10pct,5,9005,AmountRF_DLPIF,42,416,5,0.7849,15.09,13.76
10pct,5,9005,SAITS,42,416,5,0.6427,24.98,24.86
10pct,5,9005,AmountRF_DLPIF,123,416,5,0.7857,14.98,13.62
10pct,5,9005,SAITS,123,416,5,0.6601,24.69,24.57
10pct,5,9005,AmountRF_DLPIF,456,416,5,0.7849,14.92,13.86
10pct,5,9005,SAITS,456,416,5,0.6565,25.08,24.96
10pct,6,9006,Linear,deterministic,416,7,0.6909,21.31,21.04
10pct,6,9006,AmountRF_DLPIF,42,416,7,0.7971,14.29,12.82
10pct,6,9006,SAITS,42,416,7,0.6722,24.26,23.84
10pct,6,9006,AmountRF_DLPIF,123,416,7,0.8042,14.37,13.16
10pct,6,9006,SAITS,123,416,7,0.722,24.01,23.59
10pct,6,9006,AmountRF_DLPIF,456,416,7,0.8057,14.38,13.11
10pct,6,9006,SAITS,456,416,7,0.6978,24.06,23.66
10pct,7,9007,Linear,deterministic,416,3,0.7003,15.42,13.08
10pct,7,9007,AmountRF_DLPIF,42,416,3,0.8071,14.81,12.56
10pct,7,9007,SAITS,42,416,3,0.6545,22.38,21.66
10pct,7,9007,AmountRF_DLPIF,123,416,3,0.7931,14.52,12.13
10pct,7,9007,SAITS,123,416,3,0.697,22.04,21.32
10pct,7,9007,AmountRF_DLPIF,456,416,3,0.807,15.1,12.74
10pct,7,9007,SAITS,456,416,3,0.6838,22.74,22.07
10pct,8,9008,Linear,deterministic,416,2,0.6892,43.66,40.3
10pct,8,9008,AmountRF_DLPIF,42,416,2,0.7956,27.87,25.79
10pct,8,9008,SAITS,42,416,2,0.6236,44.86,40.88
10pct,8,9008,AmountRF_DLPIF,123,416,2,0.7842,28.73,26.64
10pct,8,9008,SAITS,123,416,2,0.6926,44.7,40.59
10pct,8,9008,AmountRF_DLPIF,456,416,2,0.797,28.83,26.55
10pct,8,9008,SAITS,456,416,2,0.6691,44.51,40.56
10pct,9,9009,Linear,deterministic,416,5,0.6588,22.15,21.23
10pct,9,9009,AmountRF_DLPIF,42,416,5,0.7574,15.85,14.45
10pct,9,9009,SAITS,42,416,5,0.6368,25.22,24.87
10pct,9,9009,AmountRF_DLPIF,123,416,5,0.7384,15.58,14.31
10pct,9,9009,SAITS,123,416,5,0.6871,24.98,24.63
10pct,9,9009,AmountRF_DLPIF,456,416,5,0.7574,15.64,14.36
10pct,9,9009,SAITS,456,416,5,0.6643,25.22,24.89
20pct,0,9000,Linear,deterministic,833,14,0.6728,20.72,20.25
20pct,0,9000,AmountRF_DLPIF,42,833,14,0.7902,16.27,15.16
20pct,0,9000,SAITS,42,833,14,0.6099,23.49,23.16
20pct,0,9000,AmountRF_DLPIF,123,833,14,0.7918,15.94,14.94
20pct,0,9000,SAITS,123,833,14,0.6868,23.3,22.98
20pct,0,9000,AmountRF_DLPIF,456,833,14,0.7824,16.3,15.23
20pct,0,9000,SAITS,456,833,14,0.6821,23.53,23.19
20pct,1,9001,Linear,deterministic,833,11,0.6716,22.27,21.27
20pct,1,9001,AmountRF_DLPIF,42,833,11,0.7829,14.8,13.2
20pct,1,9001,SAITS,42,833,11,0.6038,24.61,23.73
20pct,1,9001,AmountRF_DLPIF,123,833,11,0.7756,14.86,13.44
20pct,1,9001,SAITS,123,833,11,0.6633,24.51,23.62
20pct,1,9001,AmountRF_DLPIF,456,833,11,0.7763,14.92,13.34
20pct,1,9001,SAITS,456,833,11,0.6248,24.54,23.7
20pct,2,9002,Linear,deterministic,833,10,0.6757,21.08,20.87
20pct,2,9002,AmountRF_DLPIF,42,833,10,0.7818,12.85,11.74
20pct,2,9002,SAITS,42,833,10,0.6152,23.13,22.95
20pct,2,9002,AmountRF_DLPIF,123,833,10,0.7815,13.02,12.02
20pct,2,9002,SAITS,123,833,10,0.6343,23.0,22.82
20pct,2,9002,AmountRF_DLPIF,456,833,10,0.7847,13.02,12.02
20pct,2,9002,SAITS,456,833,10,0.6019,23.13,22.96
20pct,3,9003,Linear,deterministic,833,5,0.6598,26.29,25.1
20pct,3,9003,AmountRF_DLPIF,42,833,5,0.7747,17.29,14.44
20pct,3,9003,SAITS,42,833,5,0.5964,29.45,28.3
20pct,3,9003,AmountRF_DLPIF,123,833,5,0.759,17.51,14.7
20pct,3,9003,SAITS,123,833,5,0.6355,29.17,28.05
20pct,3,9003,AmountRF_DLPIF,456,833,5,0.7621,17.76,15.06
20pct,3,9003,SAITS,456,833,5,0.6077,29.16,28.03
20pct,4,9004,Linear,deterministic,833,6,0.6792,21.56,20.48
20pct,4,9004,AmountRF_DLPIF,42,833,6,0.7751,19.07,17.48
