method,scenario,seed,pearson_amount_corr_mae,spearman_amount_corr_mae,wet_occurrence_corr_mae
Mean,10pct,deterministic,0.048253683049542605,0.1388385002694374,0.14892717499762184
Mean,20pct,deterministic,0.13568152562915592,0.2508983274799794,0.2519907890250385
Mean,block7d,deterministic,0.09311210854783046,0.27509731798828124,0.2934239187315372
Mean,block30d,deterministic,0.059533067092745896,0.265169220418024,0.2774530246169311
Mean,netblock30d,deterministic,0.012280969633085781,0.07097364531931553,0.09010368981635665
Linear,10pct,deterministic,0.040155717302055506,0.05462809957678962,0.046609941396084764
Linear,20pct,deterministic,0.11019130262499184,0.07316841086821056,0.06115304090934679
Linear,block7d,deterministic,0.10907967868656034,0.16119188423641942,0.14182125703568677
Linear,block30d,deterministic,0.16420518297886194,0.24590788139034694,0.21276381006109824
Linear,netblock30d,deterministic,0.009451405018777856,0.018687460052004463,0.021341898969273836
KNN,10pct,deterministic,0.04496542233020103,0.06163254496807933,0.05636667212202756
KNN,20pct,deterministic,0.09956187781580368,0.10576606514756792,0.08517891209004948
KNN,block7d,deterministic,0.04936025748186667,0.10259961718736271,0.0938664042019775
KNN,block30d,deterministic,0.020389103964355743,0.09711321388157662,0.09394884196741271
KNN,netblock30d,deterministic,0.011741071100977293,0.07090260592629583,0.09010368981635665
MICE,10pct,deterministic,0.034672283841006034,0.09315952188181174,0.08362390534554463
MICE,20pct,deterministic,0.08847985249818276,0.1494077202567695,0.14406802539908234
MICE,block7d,deterministic,0.04855349897976713,0.17103610776549324,0.16350454703246262
MICE,block30d,deterministic,0.027947693730289814,0.17241307533437392,0.19039877840608707
MICE,netblock30d,deterministic,0.009502433225103616,0.043787988168024095,0.09010368981635665
AmountRF_DLPIF,10pct,42,0.02736578693963319,0.01435581035245855,0.01885562057897407
AmountRF_DLPIF,20pct,42,0.03513818058716724,0.03445788364666933,0.05151516006844228
AmountRF_DLPIF,block7d,42,0.045576769924972206,0.029542316335366064,0.03909299525501166
AmountRF_DLPIF,block30d,42,0.08075817876291924,0.027097965049158918,0.03181512313109338
AmountRF_DLPIF,10pct,123,0.027241914383895043,0.012809577107659786,0.01775857059251344
AmountRF_DLPIF,20pct,123,0.03697887379814352,0.037185151297087736,0.05516611284925649
AmountRF_DLPIF,block7d,123,0.04460047291838406,0.026963004566781062,0.035173405660773004
AmountRF_DLPIF,block30d,123,0.08243121348356887,0.03187238479356865,0.03710570879335906
AmountRF_DLPIF,10pct,456,0.026979094283548666,0.013233115049382405,0.017571715825646022
AmountRF_DLPIF,20pct,456,0.0362812136913222,0.03549185004355324,0.05129340305507416
AmountRF_DLPIF,block7d,456,0.04566354392380254,0.03050114376131935,0.03999785144329535
AmountRF_DLPIF,block30d,456,0.08368871251002735,0.030121444992065743,0.033713184520159624
DirectTwoStageRF,10pct,42,0.02736578693963319,0.01435581035245855,0.01885562057897407
DirectTwoStageRF,20pct,42,0.03513818058716724,0.03445788364666933,0.05151516006844228
DirectTwoStageRF,block7d,42,0.045576769924972206,0.029542316335366064,0.03909299525501166
DirectTwoStageRF,block30d,42,0.08075817876291924,0.027097965049158918,0.03181512313109338
DirectTwoStageRF,netblock30d,42,0.009941311740821876,0.0069878588483374875,0.0191343178047087
DirectTwoStageRF,10pct,123,0.027241914383895043,0.012809577107659786,0.01775857059251344
DirectTwoStageRF,20pct,123,0.03697887379814352,0.037185151297087736,0.05516611284925649
DirectTwoStageRF,block7d,123,0.04460047291838406,0.026963004566781062,0.035173405660773004
DirectTwoStageRF,block30d,123,0.08243121348356887,0.03187238479356865,0.03710570879335906
DirectTwoStageRF,netblock30d,123,0.009941311740821876,0.0069878588483374875,0.0191343178047087
DirectTwoStageRF,10pct,456,0.026979094283548666,0.013233115049382405,0.017571715825646022
DirectTwoStageRF,20pct,456,0.0362812136913222,0.03549185004355324,0.05129340305507416
DirectTwoStageRF,block7d,456,0.04566354392380254,0.03050114376131935,0.03999785144329535
DirectTwoStageRF,block30d,456,0.08368871251002735,0.030121444992065743,0.033713184520159624
DirectTwoStageRF,netblock30d,456,0.009941311740821876,0.0069878588483374875,0.0191343178047087
SingleStageRF,10pct,42,0.02716274068399936,0.0675964419481475,0.03299590239191482
SingleStageRF,20pct,42,0.03526600548882288,0.10956540750576853,0.07560922658449336
SingleStageRF,block7d,42,0.04626862654138788,0.13129331929111074,0.10290387517299991
SingleStageRF,block30d,42,0.08391144173136789,0.11273464878453161,0.08626132548489766
SingleStageRF,netblock30d,42,0.009522472729966888,0.05486049151271253,0.09010368981635665
SingleStageRF,10pct,123,0.02700382099949411,0.06674075156382116,0.0351670876126969
SingleStageRF,20pct,123,0.03430626370917791,0.109290447354079,0.08067511786926396
SingleStageRF,block7d,123,0.046011158309676024,0.13241474023713046,0.1003579358713974
SingleStageRF,block30d,123,0.08268660984482772,0.11441659628617322,0.0974246795693151
SingleStageRF,netblock30d,123,0.00952251800517373,0.055855373203144244,0.09010368981635665
SingleStageRF,10pct,456,0.027190381861624684,0.06783529860003029,0.03492976666588212
SingleStageRF,20pct,456,0.03407308011117951,0.10938687719054135,0.07191761368916018
SingleStageRF,block7d,456,0.046129911168959724,0.13202389071007561,0.09642712259325113
SingleStageRF,block30d,456,0.0824803904685892,0.11326045371269987,0.09414346841672226
SingleStageRF,netblock30d,456,0.009521772709507381,0.054803028566431954,0.09010368981635665
MissingnessIndicatorRF,10pct,42,0.027109498505038503,0.0134130162019205,0.017296447642933328
MissingnessIndicatorRF,20pct,42,0.03545576386784157,0.03425636357391474,0.050243491551816934
MissingnessIndicatorRF,block7d,42,0.04597950223281194,0.02892750667048923,0.037532265163975564
MissingnessIndicatorRF,block30d,42,0.08171663932742036,0.03169695434256783,0.03636778623183771
MissingnessIndicatorRF,netblock30d,42,0.009941311740821876,0.0069878588483374875,0.0191343178047087
MissingnessIndicatorRF,10pct,123,0.0271070099593607,0.013656463333739469,0.0180728968697532
