seed,scenario,n,dlpif_rmse_wet,occ_only_rmse_wet,dlpif_rmse_p95,occ_only_rmse_p95,dlpif_f1,occ_only_f1,dlpif_bias,occ_only_bias
42,10pct,416,5.4236,5.9262,17.62,21.42,0.8082,0.8082,0.024,0.024
42,20pct,833,4.8466,5.2761,14.99,19.46,0.7674,0.7674,-0.0276,-0.0276
42,block7d,840,4.9129,5.9546,15.45,22.3,0.7875,0.7875,-0.0024,-0.0024
42,block30d,840,6.0672,6.7932,20.26,24.2,0.8014,0.8014,0.025,0.025
123,10pct,416,5.4211,5.9215,17.58,21.42,0.8053,0.8053,0.0505,0.0505
123,20pct,833,4.8135,5.2982,14.87,19.46,0.771,0.771,-0.006,-0.006
123,block7d,840,4.8824,5.9057,15.75,22.3,0.7957,0.7957,0.0179,0.0179
123,block30d,840,6.0645,6.79,20.39,24.2,0.781,0.781,0.0488,0.0488
456,10pct,416,5.3647,5.8908,17.32,21.42,0.8054,0.8054,0.0385,0.0385
456,20pct,833,4.8559,5.3349,14.72,19.46,0.7666,0.7666,-0.03,-0.03
456,block7d,840,4.8801,5.9507,15.36,22.3,0.7934,0.7934,-0.0071,-0.0071
456,block30d,840,6.0968,6.7932,20.43,24.2,0.8,0.8,0.0262,0.0262
