audit_category,check_name,method,scenario,seed,status,observed,expected,tolerance,source_file,message
completeness,expected_groups_exist,Mean,,,PASS,5,5,,,all groups present
completeness,no_unexpected_groups,Mean,,,PASS,5,5,,,no unexpected groups
completeness,no_duplicate_rows,Mean,10pct,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,Mean,10pct,deterministic,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,Mean,10pct,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,Mean,10pct,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,Mean,20pct,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,Mean,20pct,deterministic,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,Mean,20pct,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,Mean,20pct,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,Mean,block7d,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,Mean,block7d,deterministic,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,Mean,block7d,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,Mean,block7d,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,Mean,block30d,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,Mean,block30d,deterministic,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,Mean,block30d,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,Mean,block30d,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,Mean,netblock30d,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,Mean,netblock30d,deterministic,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,Mean,netblock30d,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,Mean,netblock30d,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,expected_groups_exist,Linear,,,PASS,5,5,,,all groups present
completeness,no_unexpected_groups,Linear,,,PASS,5,5,,,no unexpected groups
completeness,no_duplicate_rows,Linear,10pct,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,Linear,10pct,deterministic,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,Linear,10pct,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,Linear,10pct,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,Linear,20pct,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,Linear,20pct,deterministic,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,Linear,20pct,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,Linear,20pct,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,Linear,block7d,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,Linear,block7d,deterministic,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,Linear,block7d,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,Linear,block7d,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,Linear,block30d,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,Linear,block30d,deterministic,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,Linear,block30d,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,Linear,block30d,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,Linear,netblock30d,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,Linear,netblock30d,deterministic,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,Linear,netblock30d,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,Linear,netblock30d,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,expected_groups_exist,KNN,,,PASS,5,5,,,all groups present
completeness,no_unexpected_groups,KNN,,,PASS,5,5,,,no unexpected groups
completeness,no_duplicate_rows,KNN,10pct,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,KNN,10pct,deterministic,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,KNN,10pct,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,KNN,10pct,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,KNN,20pct,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,KNN,20pct,deterministic,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,KNN,20pct,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,KNN,20pct,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,KNN,block7d,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,KNN,block7d,deterministic,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,KNN,block7d,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,KNN,block7d,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,KNN,block30d,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,KNN,block30d,deterministic,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,KNN,block30d,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,KNN,block30d,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,KNN,netblock30d,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,KNN,netblock30d,deterministic,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,KNN,netblock30d,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,KNN,netblock30d,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,expected_groups_exist,MICE,,,PASS,5,5,,,all groups present
completeness,no_unexpected_groups,MICE,,,PASS,5,5,,,no unexpected groups
completeness,no_duplicate_rows,MICE,10pct,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MICE,10pct,deterministic,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MICE,10pct,deterministic,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,MICE,10pct,deterministic,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,MICE,20pct,deterministic,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,MICE,20pct,deterministic,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,MICE,20pct,deterministic,PASS,0,0,,,all evaluated cells finite
