method,scenario,seed,n_evaluated,freq_gt,freq_pred,signed_frequency_bias,precision,recall,f1,csi,rmse,mae,rmse_wet,mae_wet,mae_p95,rmse_p95,tp,fp,fn,tn,source_prediction_file
AmountRF_DLPIF,10pct,123,416,0.3389,0.3894,0.0505,0.7531,0.8652,0.8053,0.674,3.3279,1.4607,5.4211,3.4703,14.47,17.58,122,40,19,235,results/canonical/predictions/AmountRF_DLPIF.csv
AmountRF_DLPIF,10pct,42,416,0.3389,0.363,0.024,0.7815,0.8369,0.8082,0.6782,3.2879,1.3918,5.4236,3.4423,14.62,17.62,118,33,23,242,results/canonical/predictions/AmountRF_DLPIF.csv
AmountRF_DLPIF,10pct,456,416,0.3389,0.3774,0.0385,0.7643,0.8511,0.8054,0.6742,3.2736,1.4026,5.3647,3.3817,14.39,17.32,120,37,21,238,results/canonical/predictions/AmountRF_DLPIF.csv
AmountRF_DLPIF,20pct,123,833,0.3673,0.3613,-0.006,0.7774,0.7647,0.771,0.6273,3.1553,1.4513,4.8135,3.1928,12.49,14.87,234,67,72,460,results/canonical/predictions/AmountRF_DLPIF.csv
AmountRF_DLPIF,20pct,42,833,0.3673,0.3397,-0.0276,0.7986,0.7386,0.7674,0.6226,3.1645,1.4267,4.8466,3.1933,12.72,14.99,226,57,80,470,results/canonical/predictions/AmountRF_DLPIF.csv
AmountRF_DLPIF,20pct,456,833,0.3673,0.3373,-0.03,0.8007,0.7353,0.7666,0.6215,3.162,1.4247,4.8559,3.2076,12.28,14.72,225,56,81,471,results/canonical/predictions/AmountRF_DLPIF.csv
AmountRF_DLPIF,block30d,123,840,0.3262,0.375,0.0488,0.7302,0.8394,0.781,0.6407,3.7868,1.6773,6.0645,3.9287,18.69,20.39,230,85,44,481,results/canonical/predictions/AmountRF_DLPIF.csv
AmountRF_DLPIF,block30d,42,840,0.3262,0.3512,0.025,0.7729,0.8321,0.8014,0.6686,3.7081,1.6113,6.0672,3.9545,18.58,20.26,228,67,46,499,results/canonical/predictions/AmountRF_DLPIF.csv
AmountRF_DLPIF,block30d,456,840,0.3262,0.3524,0.0262,0.7703,0.8321,0.8,0.6667,3.7643,1.6331,6.0968,3.966,18.81,20.43,228,68,46,498,results/canonical/predictions/AmountRF_DLPIF.csv
AmountRF_DLPIF,block7d,123,840,0.3262,0.344,0.0179,0.7751,0.8175,0.7957,0.6608,2.9764,1.3244,4.8824,3.2942,13.79,15.75,224,65,50,501,results/canonical/predictions/AmountRF_DLPIF.csv
AmountRF_DLPIF,block7d,42,840,0.3262,0.3238,-0.0024,0.7904,0.7847,0.7875,0.6495,2.9926,1.3053,4.9129,3.2832,13.45,15.45,215,57,59,509,results/canonical/predictions/AmountRF_DLPIF.csv
AmountRF_DLPIF,block7d,456,840,0.3262,0.319,-0.0071,0.8022,0.7847,0.7934,0.6575,2.9685,1.294,4.8801,3.2896,13.49,15.36,215,53,59,513,results/canonical/predictions/AmountRF_DLPIF.csv
DirectTwoStageRF,10pct,123,416,0.3389,0.3894,0.0505,0.7531,0.8652,0.8053,0.674,3.3279,1.4607,5.4211,3.4703,14.47,17.58,122,40,19,235,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,10pct,42,416,0.3389,0.363,0.024,0.7815,0.8369,0.8082,0.6782,3.2879,1.3918,5.4236,3.4423,14.62,17.62,118,33,23,242,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,10pct,456,416,0.3389,0.3774,0.0385,0.7643,0.8511,0.8054,0.6742,3.2736,1.4026,5.3647,3.3817,14.39,17.32,120,37,21,238,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,20pct,123,833,0.3673,0.3613,-0.006,0.7774,0.7647,0.771,0.6273,3.1553,1.4513,4.8135,3.1928,12.49,14.87,234,67,72,460,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,20pct,42,833,0.3673,0.3397,-0.0276,0.7986,0.7386,0.7674,0.6226,3.1645,1.4267,4.8466,3.1933,12.72,14.99,226,57,80,470,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,20pct,456,833,0.3673,0.3373,-0.03,0.8007,0.7353,0.7666,0.6215,3.162,1.4247,4.8559,3.2076,12.28,14.72,225,56,81,471,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,block30d,123,840,0.3262,0.375,0.0488,0.7302,0.8394,0.781,0.6407,3.7868,1.6773,6.0645,3.9287,18.69,20.39,230,85,44,481,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,block30d,42,840,0.3262,0.3512,0.025,0.7729,0.8321,0.8014,0.6686,3.7081,1.6113,6.0672,3.9545,18.58,20.26,228,67,46,499,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,block30d,456,840,0.3262,0.3524,0.0262,0.7703,0.8321,0.8,0.6667,3.7643,1.6331,6.0968,3.966,18.81,20.43,228,68,46,498,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,block7d,123,840,0.3262,0.344,0.0179,0.7751,0.8175,0.7957,0.6608,2.9764,1.3244,4.8824,3.2942,13.79,15.75,224,65,50,501,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,block7d,42,840,0.3262,0.3238,-0.0024,0.7904,0.7847,0.7875,0.6495,2.9926,1.3053,4.9129,3.2832,13.45,15.45,215,57,59,509,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,block7d,456,840,0.3262,0.319,-0.0071,0.8022,0.7847,0.7934,0.6575,2.9685,1.294,4.8801,3.2896,13.49,15.36,215,53,59,513,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,netblock30d,123,840,0.2548,0.0,-0.2548,0.0,0.0,0.0,0.0,3.2346,1.065,6.4085,4.1804,23.33,23.68,0,0,214,626,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,netblock30d,42,840,0.2548,0.0,-0.2548,0.0,0.0,0.0,0.0,3.2346,1.065,6.4085,4.1804,23.33,23.68,0,0,214,626,results/canonical/predictions/DirectTwoStageRF.csv
DirectTwoStageRF,netblock30d,456,840,0.2548,0.0,-0.2548,0.0,0.0,0.0,0.0,3.2346,1.065,6.4085,4.1804,23.33,23.68,0,0,214,626,results/canonical/predictions/DirectTwoStageRF.csv
KNN,10pct,deterministic,416,0.3389,0.5529,0.2139,0.5304,0.8652,0.6577,0.49,4.4537,1.9656,6.9161,4.1,21.61,23.37,122,108,19,167,results/canonical/predictions/KNN.csv
KNN,20pct,deterministic,833,0.3673,0.497,0.1297,0.5797,0.7843,0.6667,0.5,3.777,1.8139,5.6506,3.6452,17.04,17.92,240,174,66,353,results/canonical/predictions/KNN.csv
KNN,block30d,deterministic,840,0.3262,0.4964,0.1702,0.542,0.8248,0.6541,0.486,4.1946,1.8377,6.9445,4.3353,21.07,22.9,226,191,48,375,results/canonical/predictions/KNN.csv
KNN,block7d,deterministic,840,0.3262,0.5048,0.1786,0.5189,0.8029,0.6304,0.4603,3.9217,1.7813,6.2075,3.8305,20.54,22.35,220,204,54,362,results/canonical/predictions/KNN.csv
KNN,netblock30d,deterministic,840,0.2548,1.0,0.7452,0.2548,1.0,0.4061,0.2548,3.0955,2.0651,5.5148,3.5168,21.76,22.13,214,626,0,0,results/canonical/predictions/KNN.csv
Linear,10pct,deterministic,416,0.3389,0.4952,0.1562,0.568,0.8298,0.6744,0.5087,4.3383,1.8543,6.9221,4.1344,23.2,24.55,117,89,24,186,results/canonical/predictions/Linear.csv
Linear,20pct,deterministic,833,0.3673,0.509,0.1417,0.5849,0.8105,0.6795,0.5145,4.5852,2.0239,6.9678,4.2306,18.69,19.18,248,176,58,351,results/canonical/predictions/Linear.csv
Linear,block30d,deterministic,840,0.3262,0.425,0.0988,0.3641,0.4745,0.412,0.2595,5.8614,2.8695,8.6004,5.4383,26.64,27.58,130,227,144,339,results/canonical/predictions/Linear.csv
Linear,block7d,deterministic,840,0.3262,0.3869,0.0607,0.4862,0.5766,0.5275,0.3583,4.8991,2.3271,7.4242,4.8759,21.99,23.55,158,167,116,399,results/canonical/predictions/Linear.csv
