method,scenario,n_seeds,n_evaluated,freq_gt_mean,freq_gt_std,freq_pred_mean,freq_pred_std,signed_frequency_bias_mean,signed_frequency_bias_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,csi_mean,csi_std,rmse_mean,rmse_std,mae_mean,mae_std,rmse_wet_mean,rmse_wet_std,mae_wet_mean,mae_wet_std,mae_p95_mean,mae_p95_std,rmse_p95_mean,rmse_p95_std
AmountRF_DLPIF,10pct,3,416,0.3389,0.0,0.3766,0.0132,0.0377,0.0133,0.7663,0.0143,0.8511,0.0142,0.8063,0.0016,0.6755,0.0024,3.2965,0.0281,1.4184,0.0371,5.4031,0.0333,3.4314,0.0453,14.4933,0.1168,17.5067,0.1629
AmountRF_DLPIF,20pct,3,833,0.3673,0.0,0.3461,0.0132,-0.0212,0.0132,0.7922,0.0129,0.7462,0.0161,0.7683,0.0023,0.6238,0.0031,3.1606,0.0048,1.4342,0.0148,4.8387,0.0223,3.1979,0.0084,12.4967,0.2201,14.86,0.1353
AmountRF_DLPIF,block30d,3,840,0.3262,0.0,0.3595,0.0134,0.0333,0.0134,0.7578,0.0239,0.8345,0.0042,0.7941,0.0114,0.6587,0.0156,3.7531,0.0405,1.6406,0.0336,6.0762,0.0179,3.9497,0.0191,18.6933,0.115,20.36,0.0889
AmountRF_DLPIF,block7d,3,840,0.3262,0.0,0.3289,0.0133,0.0028,0.0133,0.7892,0.0136,0.7956,0.0189,0.7922,0.0042,0.6559,0.0058,2.9792,0.0123,1.3079,0.0154,4.8918,0.0183,3.289,0.0055,13.5767,0.1858,15.52,0.2042
DirectTwoStageRF,10pct,3,416,0.3389,0.0,0.3766,0.0132,0.0377,0.0133,0.7663,0.0143,0.8511,0.0142,0.8063,0.0016,0.6755,0.0024,3.2965,0.0281,1.4184,0.0371,5.4031,0.0333,3.4314,0.0453,14.4933,0.1168,17.5067,0.1629
DirectTwoStageRF,20pct,3,833,0.3673,0.0,0.3461,0.0132,-0.0212,0.0132,0.7922,0.0129,0.7462,0.0161,0.7683,0.0023,0.6238,0.0031,3.1606,0.0048,1.4342,0.0148,4.8387,0.0223,3.1979,0.0084,12.4967,0.2201,14.86,0.1353
DirectTwoStageRF,block30d,3,840,0.3262,0.0,0.3595,0.0134,0.0333,0.0134,0.7578,0.0239,0.8345,0.0042,0.7941,0.0114,0.6587,0.0156,3.7531,0.0405,1.6406,0.0336,6.0762,0.0179,3.9497,0.0191,18.6933,0.115,20.36,0.0889
DirectTwoStageRF,block7d,3,840,0.3262,0.0,0.3289,0.0133,0.0028,0.0133,0.7892,0.0136,0.7956,0.0189,0.7922,0.0042,0.6559,0.0058,2.9792,0.0123,1.3079,0.0154,4.8918,0.0183,3.289,0.0055,13.5767,0.1858,15.52,0.2042
DirectTwoStageRF,netblock30d,3,840,0.2548,0.0,0.0,0.0,-0.2548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2346,0.0,1.065,0.0,6.4085,0.0,4.1804,0.0,23.33,0.0,23.68,0.0
KNN,10pct,1,416,0.3389,,0.5529,,0.2139,,0.5304,,0.8652,,0.6577,,0.49,,4.4537,,1.9656,,6.9161,,4.1,,21.61,,23.37,
KNN,20pct,1,833,0.3673,,0.497,,0.1297,,0.5797,,0.7843,,0.6667,,0.5,,3.777,,1.8139,,5.6506,,3.6452,,17.04,,17.92,
KNN,block30d,1,840,0.3262,,0.4964,,0.1702,,0.542,,0.8248,,0.6541,,0.486,,4.1946,,1.8377,,6.9445,,4.3353,,21.07,,22.9,
KNN,block7d,1,840,0.3262,,0.5048,,0.1786,,0.5189,,0.8029,,0.6304,,0.4603,,3.9217,,1.7813,,6.2075,,3.8305,,20.54,,22.35,
KNN,netblock30d,1,840,0.2548,,1.0,,0.7452,,0.2548,,1.0,,0.4061,,0.2548,,3.0955,,2.0651,,5.5148,,3.5168,,21.76,,22.13,
Linear,10pct,1,416,0.3389,,0.4952,,0.1562,,0.568,,0.8298,,0.6744,,0.5087,,4.3383,,1.8543,,6.9221,,4.1344,,23.2,,24.55,
Linear,20pct,1,833,0.3673,,0.509,,0.1417,,0.5849,,0.8105,,0.6795,,0.5145,,4.5852,,2.0239,,6.9678,,4.2306,,18.69,,19.18,
Linear,block30d,1,840,0.3262,,0.425,,0.0988,,0.3641,,0.4745,,0.412,,0.2595,,5.8614,,2.8695,,8.6004,,5.4383,,26.64,,27.58,
Linear,block7d,1,840,0.3262,,0.3869,,0.0607,,0.4862,,0.5766,,0.5275,,0.3583,,4.8991,,2.3271,,7.4242,,4.8759,,21.99,,23.55,
Linear,netblock30d,1,840,0.2548,,0.3631,,0.1083,,0.4426,,0.6308,,0.5202,,0.3516,,3.1352,,1.4288,,5.5954,,3.7356,,21.73,,22.44,
MICE,10pct,1,416,0.3389,,0.7356,,0.3966,,0.4412,,0.9574,,0.604,,0.4327,,4.1639,,2.1283,,6.4634,,4.0912,,20.53,,22.12,
MICE,20pct,1,833,0.3673,,0.7347,,0.3673,,0.469,,0.9379,,0.6253,,0.4548,,3.6063,,1.8684,,5.4377,,3.5405,,15.74,,16.94,
MICE,block30d,1,840,0.3262,,0.7536,,0.4274,,0.4076,,0.9416,,0.5689,,0.3975,,4.1277,,2.0188,,6.7038,,4.236,,20.38,,22.27,
