freq_gt,freq_pred,bias,precision,recall,f1,csi,rmse_wet,mae_wet,tp,fp,fn,tn,mae_p95,rmse_p95,method,scenario,n_masked
0.322,1.0,0.678,0.322,1.0,0.4871,0.322,5.9371,4.0134,359,756,0,0,21.83,23.43,mean,10pct,1115
0.322,0.365,0.043,0.688,0.7799,0.7311,0.5761,5.7493,3.2439,280,127,79,629,16.33,19.61,linear,10pct,1115
0.322,0.9973,0.6753,0.3228,1.0,0.4881,0.3228,6.9502,4.4233,359,753,0,3,21.66,23.65,knn,10pct,1115
0.322,0.9973,0.6753,0.3228,1.0,0.4881,0.3228,6.2635,4.1557,359,753,0,3,18.69,21.36,mice,10pct,1115
0.322,1.0,0.678,0.322,1.0,0.4871,0.322,6.5658,3.721,359,756,0,0,24.17,25.67,WGAN-GP_raw_seed42,10pct,1115
0.322,1.0,0.678,0.322,1.0,0.4871,0.322,6.7981,3.7726,359,756,0,0,24.77,26.18,WGAN-GP_raw_seed123,10pct,1115
0.322,1.0,0.678,0.322,1.0,0.4871,0.322,6.9601,3.8361,359,756,0,0,25.23,26.62,WGAN-GP_raw_seed456,10pct,1115
0.322,0.3229,0.0009,0.3694,0.3705,0.37,0.227,9.0332,5.2608,133,227,226,529,23.17,25.41,PrecipFix_seed42,10pct,1115
0.322,0.3274,0.0054,0.3616,0.3677,0.3646,0.223,8.896,5.2951,132,233,227,523,22.71,25.14,PrecipFix_seed123,10pct,1115
0.322,0.3291,0.0072,0.3297,0.337,0.3333,0.2,8.6644,5.1291,121,246,238,510,22.57,25.17,PrecipFix_seed456,10pct,1115
0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.5898,7.718,4.2323,266,92,93,664,19.58,22.71,Precip2Stage_clean_seed42,10pct,1115
0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.5898,7.6976,4.357,266,92,93,664,20.92,23.42,Precip2Stage_clean_seed123,10pct,1115
0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.5898,7.922,4.4024,266,92,93,664,21.74,24.02,Precip2Stage_clean_seed456,10pct,1115
0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.5898,5.135,3.174,266,92,93,664,13.3,16.73,AmountRF_clean_seed42,10pct,1115
0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.5898,5.1281,3.1669,266,92,93,664,13.45,16.78,AmountRF_clean_seed123,10pct,1115
0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.5898,5.0939,3.1444,266,92,93,664,13.25,16.69,AmountRF_clean_seed456,10pct,1115
0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.3453,5.8544,4.054,770,1460,0,0,19.52,20.52,mean,20pct,2230
0.3453,0.3933,0.048,0.691,0.787,0.7359,0.5821,5.4969,3.3067,606,271,164,1189,13.87,15.6,linear,20pct,2230
0.3453,0.996,0.6507,0.3458,0.9974,0.5135,0.3455,6.5273,4.1648,768,1453,2,7,18.29,20.15,knn,20pct,2230
0.3453,0.9996,0.6543,0.3454,1.0,0.5135,0.3454,6.3965,4.2528,770,1459,0,1,16.65,18.55,mice,20pct,2230
0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.3453,6.5464,3.8135,770,1460,0,0,22.01,22.98,WGAN-GP_raw_seed42,20pct,2230
0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.3453,6.808,3.9003,770,1460,0,0,22.6,23.53,WGAN-GP_raw_seed123,20pct,2230
0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.3453,6.9901,4.0028,770,1460,0,0,22.98,23.87,WGAN-GP_raw_seed456,20pct,2230
0.3453,0.3206,-0.0247,0.4322,0.4013,0.4162,0.2628,8.1016,5.0982,309,406,461,1054,21.29,22.95,PrecipFix_seed42,20pct,2230
0.3453,0.33,-0.0152,0.4158,0.3974,0.4064,0.255,8.1919,5.0531,306,430,464,1030,21.33,23.12,PrecipFix_seed123,20pct,2230
0.3453,0.2982,-0.0471,0.3985,0.3442,0.3693,0.2265,7.9084,4.8827,265,400,505,1060,21.59,23.24,PrecipFix_seed456,20pct,2230
0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.6395,8.8391,5.2311,596,162,174,1298,18.12,20.39,Precip2Stage_clean_seed42,20pct,2230
0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.6395,9.201,5.3702,596,162,174,1298,18.68,20.67,Precip2Stage_clean_seed123,20pct,2230
0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.6395,9.03,5.4054,596,162,174,1298,18.56,20.62,Precip2Stage_clean_seed456,20pct,2230
0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.6395,4.7934,3.1453,596,162,174,1298,11.72,13.39,AmountRF_clean_seed42,20pct,2230
0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.6395,4.8061,3.1553,596,162,174,1298,11.75,13.43,AmountRF_clean_seed123,20pct,2230
0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.6395,4.8336,3.1661,596,162,174,1298,11.98,13.64,AmountRF_clean_seed456,20pct,2230
0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.3169,5.9625,4.1359,656,1414,0,0,19.72,20.94,mean,block7d,2070
0.3169,0.4145,0.0976,0.5804,0.7591,0.6579,0.4902,6.475,3.7782,498,360,158,1054,19.61,21.52,linear,block7d,2070
0.3169,0.9947,0.6778,0.3176,0.997,0.4818,0.3173,6.4887,4.0555,654,1405,2,9,17.45,18.98,knn,block7d,2070
0.3169,0.9976,0.6807,0.3177,1.0,0.4822,0.3177,6.1407,4.1466,656,1409,0,5,15.89,17.74,mice,block7d,2070
0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.3169,6.5981,3.7773,656,1414,0,0,21.99,23.09,WGAN-GP_raw_seed42,block7d,2070
0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.3169,6.8763,3.8628,656,1414,0,0,22.76,23.84,WGAN-GP_raw_seed123,block7d,2070
0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.3169,7.0498,3.9398,656,1414,0,0,23.21,24.27,WGAN-GP_raw_seed456,block7d,2070
0.3169,0.3145,-0.0024,0.3748,0.372,0.3734,0.2295,8.8199,5.3412,244,407,412,1007,21.46,23.02,PrecipFix_seed42,block7d,2070
0.3169,0.3343,0.0174,0.3627,0.3826,0.3724,0.2288,8.8541,5.4452,251,441,405,973,22.27,23.93,PrecipFix_seed123,block7d,2070
0.3169,0.3063,-0.0106,0.336,0.3247,0.3302,0.1978,8.7844,5.3446,213,421,443,993,22.71,24.16,PrecipFix_seed456,block7d,2070
0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.6266,9.4228,5.3476,495,134,161,1280,17.25,19.35,Precip2Stage_clean_seed42,block7d,2070
0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.6266,9.4168,5.449,495,134,161,1280,18.72,20.32,Precip2Stage_clean_seed123,block7d,2070
0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.6266,9.6727,5.4594,495,134,161,1280,19.12,20.93,Precip2Stage_clean_seed456,block7d,2070
0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.6266,4.5768,3.0963,495,134,161,1280,9.7,11.19,AmountRF_clean_seed42,block7d,2070
0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.6266,4.6043,3.1036,495,134,161,1280,9.71,11.26,AmountRF_clean_seed123,block7d,2070
0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.6266,4.6151,3.1205,495,134,161,1280,9.79,11.32,AmountRF_clean_seed456,block7d,2070
0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.3104,6.5396,4.4215,627,1393,0,0,19.9,21.13,mean,block30d,2020
0.3104,0.3589,0.0485,0.4428,0.512,0.4749,0.3113,7.7057,4.7171,321,404,306,989,21.42,23.03,linear,block30d,2020
