seed,scenario,trial,n_masked,max_abs_diff_mm,n_mismatch,exact_match
42,10pct,0,1115,0.0,0,True
42,10pct,1,1115,0.0,0,True
42,10pct,2,1115,0.0,0,True
42,20pct,0,2230,0.0,0,True
42,20pct,1,2230,0.0,0,True
42,20pct,2,2230,0.0,0,True
42,block7d,0,2240,0.0,0,True
42,block7d,1,2240,0.0,0,True
42,block7d,2,2240,0.0,0,True
42,block30d,0,2280,0.0,0,True
42,block30d,1,2280,0.0,0,True
42,block30d,2,2280,0.0,0,True
123,10pct,0,1115,0.0,0,True
123,10pct,1,1115,0.0,0,True
123,10pct,2,1115,0.0,0,True
123,20pct,0,2230,0.0,0,True
123,20pct,1,2230,0.0,0,True
123,20pct,2,2230,0.0,0,True
123,block7d,0,2240,0.0,0,True
123,block7d,1,2240,0.0,0,True
123,block7d,2,2240,0.0,0,True
123,block30d,0,2280,0.0,0,True
123,block30d,1,2280,0.0,0,True
123,block30d,2,2280,0.0,0,True
456,10pct,0,1115,0.0,0,True
456,10pct,1,1115,0.0,0,True
456,10pct,2,1115,0.0,0,True
456,20pct,0,2230,0.0,0,True
456,20pct,1,2230,0.0,0,True
456,20pct,2,2230,0.0,0,True
456,block7d,0,2240,0.0,0,True
456,block7d,1,2240,0.0,0,True
456,block7d,2,2240,0.0,0,True
456,block30d,0,2280,0.0,0,True
456,block30d,1,2280,0.0,0,True
456,block30d,2,2280,0.0,0,True
