method,scenario,n_masked,freq_gt,freq_pred,bias,precision,recall,f1,csi,rmse_wet,mae_wet,mae_p95,rmse_p95,tp,fp,fn,tn
MissingnessIndicatorRF_seed42,10pct,416,0.3389,0.3582,0.0192,0.7852,0.8298,0.8069,0.6763,5.4171,3.4344,14.56,17.61,117,32,24,243
MissingnessIndicatorRF_seed42,20pct,833,0.3673,0.3313,-0.036,0.8043,0.7255,0.7629,0.6167,4.838,3.1806,12.64,14.94,222,54,84,473
MissingnessIndicatorRF_seed42,block7d,840,0.3262,0.3131,-0.0131,0.7985,0.7664,0.7821,0.6422,4.9053,3.2499,13.49,15.5,210,53,64,513
MissingnessIndicatorRF_seed42,block30d,840,0.3262,0.3464,0.0202,0.7766,0.8248,0.8,0.6667,6.0749,3.9414,18.62,20.3,226,65,48,501
MissingnessIndicatorRF_seed42,netblock30d,840,0.2548,0.0,-0.2548,0.0,0.0,0.0,0.0,6.4085,4.1804,23.33,23.68,0,0,214,626
MissingnessIndicatorRF_seed42,mar_meteo,417,0.3189,0.3213,0.0024,0.806,0.812,0.809,0.6792,5.1364,3.157,15.17,19.17,108,26,25,258
MissingnessIndicatorRF_seed42,mnar_wet,417,0.5564,0.458,-0.0983,0.9162,0.7543,0.8274,0.7056,5.5949,3.5945,16.11,17.35,175,16,57,169
MissingnessIndicatorRF_seed42,mnar_intensity_moderate,417,0.4988,0.4508,-0.048,0.9096,0.8221,0.8636,0.76,6.4585,4.2796,13.93,16.12,171,17,37,192
MissingnessIndicatorRF_seed42,mnar_intensity_severe,417,0.7362,0.6715,-0.0647,0.9679,0.8827,0.9233,0.8576,9.9917,6.7064,19.62,21.88,271,9,36,101
MissingnessIndicatorRF_seed123,10pct,416,0.3389,0.387,0.0481,0.7578,0.8652,0.8079,0.6778,5.4375,3.4805,14.55,17.65,122,39,19,236
MissingnessIndicatorRF_seed123,20pct,833,0.3673,0.3613,-0.006,0.7841,0.7712,0.7776,0.6361,4.8228,3.2149,12.44,14.84,236,65,70,462
MissingnessIndicatorRF_seed123,block7d,840,0.3262,0.3369,0.0107,0.7809,0.8066,0.7935,0.6577,4.9237,3.316,13.76,15.7,221,62,53,504
MissingnessIndicatorRF_seed123,block30d,840,0.3262,0.3655,0.0393,0.7492,0.8394,0.7917,0.6553,6.0658,3.9261,18.68,20.39,230,77,44,489
MissingnessIndicatorRF_seed123,netblock30d,840,0.2548,0.0,-0.2548,0.0,0.0,0.0,0.0,6.4085,4.1804,23.33,23.68,0,0,214,626
MissingnessIndicatorRF_seed123,mar_meteo,417,0.3189,0.3405,0.0216,0.7817,0.8346,0.8073,0.6768,5.1921,3.2023,15.49,19.32,111,31,22,253
MissingnessIndicatorRF_seed123,mnar_wet,417,0.5564,0.4844,-0.0719,0.9208,0.8017,0.8571,0.75,5.5625,3.5694,15.87,17.09,186,16,46,169
MissingnessIndicatorRF_seed123,mnar_intensity_moderate,417,0.4988,0.4772,-0.0216,0.9045,0.8654,0.8845,0.793,6.3704,4.2159,13.91,16.07,180,19,28,190
MissingnessIndicatorRF_seed123,mnar_intensity_severe,417,0.7362,0.717,-0.0192,0.9565,0.9316,0.9439,0.8938,9.701,6.5502,19.07,21.16,286,13,21,97
MissingnessIndicatorRF_seed456,10pct,416,0.3389,0.4014,0.0625,0.7485,0.8865,0.8117,0.6831,5.3794,3.4302,14.46,17.38,125,42,16,233
MissingnessIndicatorRF_seed456,20pct,833,0.3673,0.3733,0.006,0.7717,0.7843,0.778,0.6366,4.8346,3.2388,12.44,14.81,240,71,66,456
MissingnessIndicatorRF_seed456,block7d,840,0.3262,0.344,0.0179,0.7751,0.8175,0.7957,0.6608,4.8561,3.2978,13.33,15.27,224,65,50,501
MissingnessIndicatorRF_seed456,block30d,840,0.3262,0.3774,0.0512,0.7382,0.854,0.7919,0.6555,6.0863,3.9428,18.85,20.44,234,83,40,483
MissingnessIndicatorRF_seed456,netblock30d,840,0.2548,0.0,-0.2548,0.0,0.0,0.0,0.0,6.4085,4.1804,23.33,23.68,0,0,214,626
MissingnessIndicatorRF_seed456,mar_meteo,417,0.3189,0.3501,0.0312,0.7671,0.8421,0.8029,0.6707,5.288,3.244,15.31,19.52,112,34,21,250
MissingnessIndicatorRF_seed456,mnar_wet,417,0.5564,0.4988,-0.0576,0.9038,0.8103,0.8545,0.746,5.5873,3.6093,15.88,17.12,188,20,44,165
MissingnessIndicatorRF_seed456,mnar_intensity_moderate,417,0.4988,0.4796,-0.0192,0.895,0.8606,0.8775,0.7817,6.441,4.2632,14.11,16.21,179,21,29,188
MissingnessIndicatorRF_seed456,mnar_intensity_severe,417,0.7362,0.717,-0.0192,0.9565,0.9316,0.9439,0.8938,9.7352,6.5455,19.14,21.29,286,13,21,97
