method,scenario,n_masked,freq_gt,freq_pred,bias,precision,recall,f1,csi,rmse_wet,mae_wet,mae_p95,rmse_p95,tp,fp,fn,tn
Precip2Stage_clean_seed42,10pct,1115,0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.5898,7.718,4.2323,19.58,22.71,266,92,93,664
AmountRF_clean_seed42,10pct,1115,0.322,0.3211,-0.0009,0.743,0.7409,0.742,0.5898,5.135,3.174,13.3,16.73,266,92,93,664
Precip2Stage_clean_seed42,20pct,2230,0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.6395,8.8391,5.2311,18.12,20.39,596,162,174,1298
AmountRF_clean_seed42,20pct,2230,0.3453,0.3399,-0.0054,0.7863,0.774,0.7801,0.6395,4.7934,3.1453,11.72,13.39,596,162,174,1298
Precip2Stage_clean_seed42,block7d,2070,0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.6266,9.4228,5.3476,17.25,19.35,495,134,161,1280
AmountRF_clean_seed42,block7d,2070,0.3169,0.3039,-0.013,0.787,0.7546,0.7704,0.6266,4.5768,3.0963,9.7,11.19,495,134,161,1280
Precip2Stage_clean_seed42,block30d,2020,0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.6116,9.4373,5.6435,19.31,20.93,485,166,142,1227
AmountRF_clean_seed42,block30d,2020,0.3104,0.3223,0.0119,0.745,0.7735,0.759,0.6116,5.5817,3.4488,12.98,15.81,485,166,142,1227
Precip2Stage_clean_seed123,10pct,1115,0.322,0.3121,-0.0099,0.7586,0.7354,0.7468,0.5959,7.6888,4.3545,20.97,23.47,264,84,95,672
AmountRF_clean_seed123,10pct,1115,0.322,0.3121,-0.0099,0.7586,0.7354,0.7468,0.5959,5.1314,3.1676,13.45,16.78,264,84,95,672
Precip2Stage_clean_seed123,20pct,2230,0.3453,0.3318,-0.0135,0.7973,0.7662,0.7815,0.6413,9.177,5.3464,18.79,20.78,590,150,180,1310
AmountRF_clean_seed123,20pct,2230,0.3453,0.3318,-0.0135,0.7973,0.7662,0.7815,0.6413,4.8106,3.1595,11.75,13.43,590,150,180,1310
Precip2Stage_clean_seed123,block7d,2070,0.3169,0.2986,-0.0184,0.7913,0.7454,0.7677,0.6229,9.3723,5.4108,18.77,20.39,489,129,167,1285
AmountRF_clean_seed123,block7d,2070,0.3169,0.2986,-0.0184,0.7913,0.7454,0.7677,0.6229,4.6052,3.103,9.71,11.26,489,129,167,1285
Precip2Stage_clean_seed123,block30d,2020,0.3104,0.3163,0.0059,0.7512,0.7656,0.7583,0.6107,9.3693,5.7008,20.29,21.68,480,159,147,1234
AmountRF_clean_seed123,block30d,2020,0.3104,0.3163,0.0059,0.7512,0.7656,0.7583,0.6107,5.6263,3.4589,13.09,15.91,480,159,147,1234
Precip2Stage_clean_seed456,10pct,1115,0.322,0.3238,0.0018,0.7368,0.7409,0.7389,0.5859,7.8778,4.3815,21.62,23.93,266,95,93,661
AmountRF_clean_seed456,10pct,1115,0.322,0.3238,0.0018,0.7368,0.7409,0.7389,0.5859,5.0985,3.1534,13.25,16.69,266,95,93,661
Precip2Stage_clean_seed456,20pct,2230,0.3453,0.3417,-0.0036,0.7861,0.7779,0.782,0.642,9.0024,5.4245,18.55,20.62,599,163,171,1297
AmountRF_clean_seed456,20pct,2230,0.3453,0.3417,-0.0036,0.7861,0.7779,0.782,0.642,4.837,3.1734,11.98,13.64,599,163,171,1297
Precip2Stage_clean_seed456,block7d,2070,0.3169,0.3082,-0.0087,0.7806,0.7591,0.7697,0.6256,9.7045,5.5408,19.05,20.85,498,140,158,1274
AmountRF_clean_seed456,block7d,2070,0.3169,0.3082,-0.0087,0.7806,0.7591,0.7697,0.6256,4.6161,3.1218,9.79,11.32,498,140,158,1274
Precip2Stage_clean_seed456,block30d,2020,0.3104,0.3233,0.0129,0.7427,0.7735,0.7578,0.6101,9.7435,5.858,20.71,22.12,485,168,142,1225
AmountRF_clean_seed456,block30d,2020,0.3104,0.3233,0.0129,0.7427,0.7735,0.7578,0.6101,5.6186,3.4797,13.17,15.91,485,168,142,1225
