scenario,variable,station,observed_count,actual_missing_count,missing_rate,number_of_blocks,block_length
netblock30d,TMIN,17155,1042,210,0.20153550863723607,7,30
netblock30d,TMEAN,17155,1042,210,0.20153550863723607,7,30
netblock30d,TMAX,17155,1042,210,0.20153550863723607,7,30
netblock30d,RH_MEAN,17155,1042,210,0.20153550863723607,7,30
netblock30d,P_MEAN,17155,1042,210,0.20153550863723607,7,30
netblock30d,WIND_MEAN,17155,1042,210,0.20153550863723607,7,30
netblock30d,PRECIP,17155,1042,210,0.20153550863723607,7,30
netblock30d,TMIN,17704,1042,210,0.20153550863723607,7,30
netblock30d,TMEAN,17704,1042,210,0.20153550863723607,7,30
netblock30d,TMAX,17704,1042,210,0.20153550863723607,7,30
netblock30d,RH_MEAN,17704,1042,210,0.20153550863723607,7,30
netblock30d,P_MEAN,17704,1042,210,0.20153550863723607,7,30
netblock30d,WIND_MEAN,17704,1042,210,0.20153550863723607,7,30
netblock30d,PRECIP,17704,1042,210,0.20153550863723607,7,30
netblock30d,TMIN,17748,1042,210,0.20153550863723607,7,30
netblock30d,TMEAN,17748,1041,210,0.2017291066282421,7,30
netblock30d,TMAX,17748,1042,210,0.20153550863723607,7,30
netblock30d,RH_MEAN,17748,1041,210,0.2017291066282421,7,30
netblock30d,P_MEAN,17748,1041,210,0.2017291066282421,7,30
netblock30d,WIND_MEAN,17748,1039,210,0.20211742059672763,7,30
netblock30d,PRECIP,17748,1042,210,0.20153550863723607,7,30
netblock30d,TMIN,17750,1042,210,0.20153550863723607,7,30
netblock30d,TMEAN,17750,1042,210,0.20153550863723607,7,30
netblock30d,TMAX,17750,1042,210,0.20153550863723607,7,30
netblock30d,RH_MEAN,17750,1042,210,0.20153550863723607,7,30
netblock30d,P_MEAN,17750,1042,210,0.20153550863723607,7,30
netblock30d,WIND_MEAN,17750,1042,210,0.20153550863723607,7,30
netblock30d,PRECIP,17750,1042,210,0.20153550863723607,7,30
