f1,rmse_wet,bias,n,sweep,stage1_trees,stage2_trees,seed,scenario,cutoff
0.8191,5.4137,0.0264,416,stage1_trees,150,400,42,10pct,0.46
0.8014,6.0672,0.025,840,stage1_trees,150,400,42,block30d,0.46
0.8138,5.4095,0.0192,416,stage1_trees,150,400,123,10pct,0.48
0.7922,6.0695,0.0179,840,stage1_trees,150,400,123,block30d,0.48
0.8068,5.3644,0.0312,416,stage1_trees,150,400,456,10pct,0.48
0.7951,6.0885,0.0214,840,stage1_trees,150,400,456,block30d,0.48
0.8082,5.4236,0.024,416,stage1_trees,300,400,42,10pct,0.46
0.8014,6.0672,0.025,840,stage1_trees,300,400,42,block30d,0.46
0.8053,5.4211,0.0505,416,stage1_trees,300,400,123,10pct,0.42
0.781,6.0645,0.0488,840,stage1_trees,300,400,123,block30d,0.42
0.8054,5.3647,0.0385,416,stage1_trees,300,400,456,10pct,0.46
0.8,6.0968,0.0262,840,stage1_trees,300,400,456,block30d,0.46
0.8079,5.4159,0.0481,416,stage1_trees,450,400,42,10pct,0.42
0.7979,6.0893,0.0429,840,stage1_trees,450,400,42,block30d,0.42
0.8133,5.4211,0.0433,416,stage1_trees,450,400,123,10pct,0.44
0.791,6.0642,0.0369,840,stage1_trees,450,400,123,block30d,0.44
0.8163,5.3647,0.0288,416,stage1_trees,450,400,456,10pct,0.46
0.7979,6.0967,0.025,840,stage1_trees,450,400,456,block30d,0.46
0.8082,5.4403,0.024,416,stage2_trees,300,200,42,10pct,0.46
0.8014,6.0612,0.025,840,stage2_trees,300,200,42,block30d,0.46
0.8053,5.4222,0.0505,416,stage2_trees,300,200,123,10pct,0.42
0.781,6.1036,0.0488,840,stage2_trees,300,200,123,block30d,0.42
0.8054,5.3834,0.0385,416,stage2_trees,300,200,456,10pct,0.46
0.8,6.0958,0.0262,840,stage2_trees,300,200,456,block30d,0.46
0.8082,5.4236,0.024,416,stage2_trees,300,400,42,10pct,0.46
0.8014,6.0672,0.025,840,stage2_trees,300,400,42,block30d,0.46
0.8053,5.4211,0.0505,416,stage2_trees,300,400,123,10pct,0.42
0.781,6.0645,0.0488,840,stage2_trees,300,400,123,block30d,0.42
0.8054,5.3647,0.0385,416,stage2_trees,300,400,456,10pct,0.46
0.8,6.0968,0.0262,840,stage2_trees,300,400,456,block30d,0.46
0.8082,5.4274,0.024,416,stage2_trees,300,600,42,10pct,0.46
0.8014,6.0687,0.025,840,stage2_trees,300,600,42,block30d,0.46
0.8053,5.4071,0.0505,416,stage2_trees,300,600,123,10pct,0.42
0.781,6.0618,0.0488,840,stage2_trees,300,600,123,block30d,0.42
0.8054,5.3605,0.0385,416,stage2_trees,300,600,456,10pct,0.46
0.8,6.0962,0.0262,840,stage2_trees,300,600,456,block30d,0.46
