method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error
Mean,10pct,deterministic,17155,45.0,30.0,15.0,5.758064516129032,3.86144578313253,1.8966187329965019,18.0,9.0,9.0
Mean,10pct,deterministic,17704,44.0,31.0,13.0,5.392307692307693,4.006329113924051,1.385978578383642,18.0,12.0,6.0
Mean,10pct,deterministic,17748,44.0,31.0,13.0,5.906779661016949,4.084967320261438,1.8218123407555114,18.299999999999983,11.400000000000006,6.899999999999977
Mean,10pct,deterministic,17750,48.0,32.0,16.0,5.582677165354331,4.0186335403726705,1.56404362498166,18.0,13.0,5.0
Linear,10pct,deterministic,17155,45.0,45.0,0.0,5.758064516129032,5.783333333333333,0.025268817204301186,18.0,20.049999999999997,2.049999999999997
Linear,10pct,deterministic,17704,44.0,42.0,2.0,5.392307692307693,5.73109243697479,0.3387847446670973,18.0,18.0,0.0
Linear,10pct,deterministic,17748,44.0,45.0,1.0,5.906779661016949,6.39622641509434,0.4894467540773908,18.299999999999983,23.0,4.700000000000017
Linear,10pct,deterministic,17750,48.0,48.0,0.0,5.582677165354331,6.0,0.41732283464566944,18.0,18.399999999999977,0.39999999999997726
KNN,10pct,deterministic,17155,45.0,45.0,0.0,5.758064516129032,5.029197080291971,0.7288674358370608,18.0,18.0,0.0
KNN,10pct,deterministic,17704,44.0,44.0,0.0,5.392307692307693,4.884892086330935,0.5074156059767576,18.0,16.099999999999994,1.9000000000000057
KNN,10pct,deterministic,17748,44.0,45.0,1.0,5.906779661016949,5.346774193548387,0.560005467468562,18.299999999999983,16.849999999999994,1.4499999999999886
KNN,10pct,deterministic,17750,48.0,45.0,3.0,5.582677165354331,5.351145038167939,0.2315321271863917,18.0,17.0,1.0
MICE,10pct,deterministic,17155,45.0,35.0,10.0,5.758064516129032,4.397350993377484,1.3607135227515483,18.0,15.0,3.0
MICE,10pct,deterministic,17704,44.0,44.0,0.0,5.392307692307693,4.636363636363637,0.755944055944056,18.0,16.0,2.0
MICE,10pct,deterministic,17748,44.0,38.0,6.0,5.906779661016949,4.764705882352941,1.1420737786640078,18.299999999999983,15.25,3.049999999999983
MICE,10pct,deterministic,17750,48.0,38.0,10.0,5.582677165354331,5.007352941176471,0.5753242241778596,18.0,17.0,1.0
SingleStageRF,10pct,42,17155,45.0,35.0,10.0,5.758064516129032,4.899280575539568,0.858783940589464,18.0,18.0,0.0
SingleStageRF,10pct,42,17704,44.0,44.0,0.0,5.392307692307693,4.856115107913669,0.5361925843940236,18.0,16.0,2.0
SingleStageRF,10pct,42,17748,44.0,44.0,0.0,5.906779661016949,5.390243902439025,0.5165357585779242,18.299999999999983,16.89999999999999,1.3999999999999915
SingleStageRF,10pct,42,17750,48.0,43.0,5.0,5.582677165354331,5.104477611940299,0.478199553414032,18.0,17.0,1.0
DirectTwoStageRF,10pct,42,17155,45.0,45.0,0.0,5.758064516129032,5.672,0.08606451612903232,18.0,18.0,0.0
