method,scenario,f1,bias,rmse_wet,rmse_p95
Mean,10pct,0.506,0.661,6.849,24.83
Linear,10pct,0.674,0.156,6.922,24.55
Knn,10pct,0.658,0.214,6.916,23.37
Mice,10pct,0.604,0.397,6.463,22.12
SAITS,10pct,0.682,0.13,7.346,
SingleStageRF,10pct,0.682,0.29,5.336,17.9
DLPIF,10pct,0.806,0.038,5.403,17.507
Mean,mar_meteo,0.484,0.681,7.764,33.03
Linear,mar_meteo,0.702,0.142,8.102,31.73
Knn,mar_meteo,0.648,0.199,7.234,28.06
Mice,mar_meteo,0.586,0.393,6.43,25.06
SAITS,mar_meteo,0.67,0.12,8.064,
SingleStageRF,mar_meteo,0.666,0.267,5.187,19.77
DLPIF,mar_meteo,0.81,0.01,5.231,19.363
Mean,mnar_wet,0.715,0.444,7.354,23.95
Linear,mnar_wet,0.824,0.046,7.282,22.45
Knn,mnar_wet,0.78,0.098,6.696,18.62
Mice,mnar_wet,0.787,0.247,6.277,17.17
SAITS,mnar_wet,0.801,0.006,7.83,
SingleStageRF,mnar_wet,0.839,0.126,5.54,17.277
DLPIF,mnar_wet,0.845,-0.079,5.568,17.093
Mean,mnar_intensity_moderate,0.719,0.439,10.599,26.25
Linear,mnar_intensity_moderate,0.815,0.055,10.489,26.49
Knn,mnar_intensity_moderate,0.801,0.082,9.296,22.09
Mice,mnar_intensity_moderate,0.792,0.235,8.535,20.48
SAITS,mnar_intensity_moderate,0.811,0.036,11.258,
SingleStageRF,mnar_intensity_moderate,0.826,0.196,7.647,17.903
DLPIF,mnar_intensity_moderate,0.895,-0.018,7.559,17.717
Mean,mnar_intensity_severe,0.888,0.201,12.538,25.96
Linear,mnar_intensity_severe,0.865,-0.072,12.448,25.68
Knn,mnar_intensity_severe,0.914,-0.007,10.559,22.13
Mice,mnar_intensity_severe,0.917,0.108,9.962,20.62
SAITS,mnar_intensity_severe,0.885,-0.066,13.268,
SingleStageRF,mnar_intensity_severe,0.94,0.055,10.117,21.59
DLPIF,mnar_intensity_severe,0.921,-0.081,9.974,21.52
