family,params,mean_utility
regime-table (reference only),{},0.6595
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.6}",0.6595
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.3}",0.6595
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.25}",0.6595
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.2}",0.6595
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.35}",0.6595
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.5}",0.6595
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.45}",0.6595
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.4}",0.6595
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.75}",0.6595
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.65}",0.6595
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.7}",0.6595
scalar-gate,"{""w_local"": 0.2, ""w_neighbor"": 0.8, ""tau"": 0.55}",0.6595
scalar-gate,"{""w_local"": 0.3, ""w_neighbor"": 0.7, ""tau"": 0.55}",0.6595
scalar-gate,"{""w_local"": 0.3, ""w_neighbor"": 0.7, ""tau"": 0.5}",0.6595
scalar-gate,"{""w_local"": 0.3, ""w_neighbor"": 0.7, ""tau"": 0.6}",0.6595
scalar-gate,"{""w_local"": 0.3, ""w_neighbor"": 0.7, ""tau"": 0.45}",0.6595
scalar-gate,"{""w_local"": 0.4, ""w_neighbor"": 0.6, ""tau"": 0.4}",0.6595
scalar-gate,"{""w_local"": 0.4, ""w_neighbor"": 0.6, ""tau"": 0.45}",0.6595
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 1.0}",0.6595
interaction-gate,"{""tau_neighbor"": 0.75, ""tau_local"": 0.9}",0.6595
scalar-gate,"{""w_local"": 0.3, ""w_neighbor"": 0.7, ""tau"": 0.35}",0.6595
