a_local,a_neighbor,trigger_rate,n_trials,action,source,scenario,gate_trigger_rate
0.0,0.99,0.0024,9.0,DLPIF (gate does not trigger),graded_test,,
0.33,0.99,0.0024,9.0,DLPIF (gate does not trigger),graded_test,,
0.5,0.99,0.0024,9.0,DLPIF (gate does not trigger),graded_test,,
0.66,0.99,0.0024,9.0,DLPIF (gate does not trigger),graded_test,,
0.9,0.99,0.0,9.0,DLPIF (gate does not trigger),graded_test,,
0.9,0.0,0.4423,9.0,DLPIF (gate does not trigger),graded_test,,
0.9,0.9,0.05929999999999999,9.0,DLPIF (gate does not trigger),graded_test,,
0.9,0.99,0.0,9.0,DLPIF (gate does not trigger),graded_test,,
0.0,0.0,1.0,9.0,Linear (gate triggers),graded_test,,
0.5,0.86,0.2003,9.0,DLPIF (gate does not trigger),graded_test,,
0.9,0.99,0.0,9.0,DLPIF (gate does not trigger),graded_test,,
0.9,0.99,,,DLPIF (gate does not trigger),original_8_scenarios,10pct,0.0
0.8,0.95,,,DLPIF (gate does not trigger),original_8_scenarios,block30d,0.041699999999999994
0.81,0.96,,,DLPIF (gate does not trigger),original_8_scenarios,block7d,0.031
0.9,0.99,,,DLPIF (gate does not trigger),original_8_scenarios,mar_meteo,0.0048
0.9,0.99,,,DLPIF (gate does not trigger),original_8_scenarios,mnar_intensity_moderate,0.0
0.9,0.98,,,DLPIF (gate does not trigger),original_8_scenarios,mnar_intensity_severe,0.0024
0.89,0.99,,,DLPIF (gate does not trigger),original_8_scenarios,mnar_wet,0.0
0.0,0.0,,,Linear (gate triggers),original_8_scenarios,netblock30d,1.0
