f1,brier,ece,bias,rmse_wet,picp_oracle,picp_e2e,family,level,keep_local,keep_nbr,realized_a_local,realized_a_neighbour,context_seed,model_seed
0.8173,0.0952,0.0429,0.0457,5.4211,0.8936,0.9231,joint,6L+2N,6,2,0.9022,0.9887,101,42
0.811,0.0952,0.0474,0.0216,5.4283,0.8936,0.9111,joint,6L+2N,6,2,0.9022,0.9887,101,123
0.8068,0.0936,0.0468,0.0312,5.3752,0.9007,0.9159,joint,6L+2N,6,2,0.9022,0.9887,101,456
0.8173,0.0952,0.0429,0.0457,5.4211,0.8936,0.9231,joint,6L+2N,6,2,0.9022,0.9887,202,42
0.811,0.0952,0.0474,0.0216,5.4283,0.8936,0.9111,joint,6L+2N,6,2,0.9022,0.9887,202,123
0.8068,0.0936,0.0468,0.0312,5.3752,0.9007,0.9159,joint,6L+2N,6,2,0.9022,0.9887,202,456
0.8173,0.0952,0.0429,0.0457,5.4211,0.8936,0.9231,joint,6L+2N,6,2,0.9022,0.9887,303,42
0.811,0.0952,0.0474,0.0216,5.4283,0.8936,0.9111,joint,6L+2N,6,2,0.9022,0.9887,303,123
0.8068,0.0936,0.0468,0.0312,5.3752,0.9007,0.9159,joint,6L+2N,6,2,0.9022,0.9887,303,456
0.7338,0.1279,0.0574,-0.0096,5.7359,0.9078,0.875,joint,3L+1N,3,1,0.4992,0.8592,101,42
0.7313,0.1284,0.0586,-0.0337,5.8568,0.9007,0.863,joint,3L+1N,3,1,0.4992,0.8592,101,123
0.7313,0.1276,0.0586,-0.0337,5.8392,0.9149,0.8654,joint,3L+1N,3,1,0.4992,0.8592,101,456
0.7429,0.1239,0.056,-0.0048,5.879,0.8865,0.8798,joint,3L+1N,3,1,0.4992,0.8644,202,42
0.7463,0.1246,0.0498,-0.0337,5.9582,0.8936,0.8726,joint,3L+1N,3,1,0.4992,0.8644,202,123
0.7491,0.1231,0.0626,-0.0361,5.9687,0.9078,0.8774,joint,3L+1N,3,1,0.4992,0.8644,202,456
0.7762,0.1148,0.0371,0.0096,5.5843,0.922,0.899,joint,3L+1N,3,1,0.4992,0.8592,303,42
0.777,0.1136,0.0369,-0.0096,5.6487,0.9149,0.8894,joint,3L+1N,3,1,0.4992,0.8592,303,123
0.7636,0.1138,0.0304,-0.0168,5.7254,0.9149,0.8822,joint,3L+1N,3,1,0.4992,0.8592,303,456
0.0,0.2662,0.2107,-0.3389,7.6948,0.8794,0.6611,joint,0L+0N,0,0,0.0,0.0,101,42
0.0,0.2607,0.204,-0.3389,7.6948,0.8794,0.6611,joint,0L+0N,0,0,0.0,0.0,101,123
0.0,0.2671,0.2141,-0.3389,7.6948,0.8794,0.6611,joint,0L+0N,0,0,0.0,0.0,101,456
0.0,0.2662,0.2107,-0.3389,7.6948,0.8794,0.6611,joint,0L+0N,0,0,0.0,0.0,202,42
0.0,0.2607,0.204,-0.3389,7.6948,0.8794,0.6611,joint,0L+0N,0,0,0.0,0.0,202,123
0.0,0.2671,0.2141,-0.3389,7.6948,0.8794,0.6611,joint,0L+0N,0,0,0.0,0.0,202,456
0.0,0.2662,0.2107,-0.3389,7.6948,0.8794,0.6611,joint,0L+0N,0,0,0.0,0.0,303,42
0.0,0.2607,0.204,-0.3389,7.6948,0.8794,0.6611,joint,0L+0N,0,0,0.0,0.0,303,123
0.0,0.2671,0.2141,-0.3389,7.6948,0.8794,0.6611,joint,0L+0N,0,0,0.0,0.0,303,456
