f1,brier,ece,bias,rmse_wet,picp_oracle,picp_e2e,family,level,keep_count,realized_availability,context_seed,model_seed
0.8173,0.0952,0.0429,0.0457,5.4211,0.8936,0.9231,local,6,6,0.9022,101,42
0.811,0.0952,0.0474,0.0216,5.4283,0.8936,0.9111,local,6,6,0.9022,101,123
0.8068,0.0936,0.0468,0.0312,5.3752,0.9007,0.9159,local,6,6,0.9022,101,456
0.8173,0.0952,0.0429,0.0457,5.4211,0.8936,0.9231,local,6,6,0.9022,202,42
0.811,0.0952,0.0474,0.0216,5.4283,0.8936,0.9111,local,6,6,0.9022,202,123
0.8068,0.0936,0.0468,0.0312,5.3752,0.9007,0.9159,local,6,6,0.9022,202,456
0.8173,0.0952,0.0429,0.0457,5.4211,0.8936,0.9231,local,6,6,0.9022,303,42
0.811,0.0952,0.0474,0.0216,5.4283,0.8936,0.9111,local,6,6,0.9022,303,123
0.8068,0.0936,0.0468,0.0312,5.3752,0.9007,0.9159,local,6,6,0.9022,303,456
0.8212,0.0955,0.0334,0.0481,5.5549,0.9007,0.9255,local,4,4,0.6607,101,42
0.8108,0.0964,0.0484,0.0337,5.5279,0.8936,0.9135,local,4,4,0.6607,101,123
0.8176,0.0954,0.0463,0.0337,5.5454,0.9078,0.9231,local,4,4,0.6607,101,456
0.7919,0.1006,0.0422,0.0385,5.3271,0.9078,0.9159,local,4,4,0.6607,202,42
0.8028,0.1008,0.0445,0.0168,5.3259,0.9078,0.9111,local,4,4,0.6607,202,123
0.8069,0.0994,0.0515,0.0192,5.2314,0.9007,0.9111,local,4,4,0.6607,202,456
0.8119,0.0937,0.0589,0.0505,5.5592,0.8865,0.9231,local,4,4,0.6607,303,42
0.8176,0.0945,0.0694,0.0337,5.553,0.8865,0.9183,local,4,4,0.6607,303,123
0.8243,0.0921,0.0597,0.0337,5.4995,0.8936,0.9207,local,4,4,0.6607,303,456
0.8106,0.0973,0.0515,0.0457,5.4723,0.8936,0.9183,local,3,3,0.4992,101,42
0.8014,0.099,0.0479,0.024,5.4629,0.8865,0.9062,local,3,3,0.4992,101,123
0.8081,0.0982,0.0463,0.0361,5.4741,0.8865,0.9135,local,3,3,0.4992,101,456
0.7907,0.1003,0.0435,0.0457,5.4863,0.8865,0.9111,local,3,3,0.4992,202,42
0.8068,0.101,0.053,0.0312,5.3982,0.8865,0.9111,local,3,3,0.4992,202,123
0.8041,0.1,0.0514,0.0337,5.4248,0.9007,0.9159,local,3,3,0.4992,202,456
0.8079,0.0967,0.0478,0.0481,5.583,0.8794,0.9135,local,3,3,0.4992,303,42
0.8163,0.0971,0.0458,0.0288,5.5729,0.8865,0.9111,local,3,3,0.4992,303,123
0.8095,0.0961,0.044,0.0288,5.5424,0.9007,0.9135,local,3,3,0.4992,303,456
0.7974,0.0988,0.0552,0.0577,5.591,0.8936,0.9183,local,2,2,0.3333,101,42
0.8148,0.1003,0.052,0.0361,5.5719,0.8936,0.9183,local,2,2,0.3333,101,123
0.8094,0.0984,0.048,0.0409,5.5847,0.9007,0.9207,local,2,2,0.3333,101,456
0.8052,0.0988,0.0397,0.0625,5.5307,0.8936,0.9231,local,2,2,0.3333,202,42
0.8081,0.1002,0.0482,0.0361,5.5258,0.8936,0.9159,local,2,2,0.3333,202,123
0.8068,0.099,0.0536,0.0312,5.535,0.8865,0.9111,local,2,2,0.3333,202,456
0.8013,0.1003,0.0498,0.0601,5.4913,0.8794,0.9159,local,2,2,0.3333,303,42
0.8108,0.1006,0.0531,0.0337,5.4655,0.8865,0.9135,local,2,2,0.3333,303,123
0.8094,0.0999,0.058,0.0409,5.4806,0.9007,0.9207,local,2,2,0.3333,303,456
0.7848,0.106,0.0662,0.0817,5.4788,0.8936,0.9231,local,0,0,0.0,101,42
0.8067,0.1057,0.0683,0.0433,5.4582,0.8936,0.9159,local,0,0,0.0,101,123
0.8,0.1053,0.0633,0.0433,5.466,0.8936,0.9135,local,0,0,0.0,101,456
0.7848,0.106,0.0662,0.0817,5.4788,0.8936,0.9231,local,0,0,0.0,202,42
0.8067,0.1057,0.0683,0.0433,5.4582,0.8936,0.9159,local,0,0,0.0,202,123
0.8,0.1053,0.0633,0.0433,5.466,0.8936,0.9135,local,0,0,0.0,202,456
0.7848,0.106,0.0662,0.0817,5.4788,0.8936,0.9231,local,0,0,0.0,303,42
0.8067,0.1057,0.0683,0.0433,5.4582,0.8936,0.9159,local,0,0,0.0,303,123
0.8,0.1053,0.0633,0.0433,5.466,0.8936,0.9135,local,0,0,0.0,303,456
