f1,brier,ece,bias,rmse_wet,picp_oracle,picp_e2e,family,level,keep_count,realized_availability,context_seed,model_seed
0.8173,0.0952,0.0429,0.0457,5.4211,0.8936,0.9231,neighbour,2,2,0.9887,101,42
0.811,0.0952,0.0474,0.0216,5.4283,0.8936,0.9111,neighbour,2,2,0.9887,101,123
0.8068,0.0936,0.0468,0.0312,5.3752,0.9007,0.9159,neighbour,2,2,0.9887,101,456
0.8173,0.0952,0.0429,0.0457,5.4211,0.8936,0.9231,neighbour,2,2,0.9887,202,42
0.811,0.0952,0.0474,0.0216,5.4283,0.8936,0.9111,neighbour,2,2,0.9887,202,123
0.8068,0.0936,0.0468,0.0312,5.3752,0.9007,0.9159,neighbour,2,2,0.9887,202,456
0.8173,0.0952,0.0429,0.0457,5.4211,0.8936,0.9231,neighbour,2,2,0.9887,303,42
0.811,0.0952,0.0474,0.0216,5.4283,0.8936,0.9111,neighbour,2,2,0.9887,303,123
0.8068,0.0936,0.0468,0.0312,5.3752,0.9007,0.9159,neighbour,2,2,0.9887,303,456
0.7832,0.1089,0.0479,0.0096,6.0892,0.8865,0.8918,neighbour,1,1,0.9004,101,42
0.7972,0.108,0.0432,-0.0024,6.0821,0.8865,0.8918,neighbour,1,1,0.9004,101,123
0.7857,0.1088,0.0381,-0.0048,6.2035,0.8794,0.8846,neighbour,1,1,0.9004,101,456
0.7666,0.1106,0.0534,0.012,5.7152,0.9078,0.899,neighbour,1,1,0.9028,202,42
0.787,0.1109,0.0492,-0.012,5.7067,0.9149,0.899,neighbour,1,1,0.9028,202,123
0.7709,0.1107,0.0413,-0.0168,5.8008,0.9149,0.8942,neighbour,1,1,0.9028,202,456
0.7832,0.1089,0.0479,0.0096,6.0892,0.8865,0.8918,neighbour,1,1,0.9004,303,42
0.7972,0.108,0.0432,-0.0024,6.0821,0.8865,0.8918,neighbour,1,1,0.9004,303,123
0.7857,0.1088,0.0381,-0.0048,6.2035,0.8794,0.8846,neighbour,1,1,0.9004,303,456
0.6327,0.1834,0.1195,-0.0168,6.4717,0.9149,0.8534,neighbour,0,0,0.0,101,42
0.5091,0.1892,0.1183,-0.149,7.0106,0.9149,0.7861,neighbour,0,0,0.0,101,123
0.5809,0.185,0.1244,-0.0986,6.8745,0.9149,0.8173,neighbour,0,0,0.0,101,456
0.6327,0.1834,0.1195,-0.0168,6.4717,0.9149,0.8534,neighbour,0,0,0.0,202,42
0.5091,0.1892,0.1183,-0.149,7.0106,0.9149,0.7861,neighbour,0,0,0.0,202,123
0.5809,0.185,0.1244,-0.0986,6.8745,0.9149,0.8173,neighbour,0,0,0.0,202,456
0.6327,0.1834,0.1195,-0.0168,6.4717,0.9149,0.8534,neighbour,0,0,0.0,303,42
0.5091,0.1892,0.1183,-0.149,7.0106,0.9149,0.7861,neighbour,0,0,0.0,303,123
0.5809,0.185,0.1244,-0.0986,6.8745,0.9149,0.8173,neighbour,0,0,0.0,303,456
