method,scenario,n_masked,freq_gt,freq_pred,bias,precision,recall,f1,csi,rmse_wet,mae_wet,mae_p95,rmse_p95,tp,fp,fn,tn
SingleStageRF_seed42,10pct,416,0.3389,0.6226,0.2837,0.529,0.9716,0.685,0.5209,5.3694,3.2719,14.92,17.91,137,122,4,153
SingleStageRF_seed42,20pct,833,0.3673,0.6591,0.2917,0.51,0.915,0.655,0.487,4.6905,2.9506,12.44,14.67,280,269,26,258
SingleStageRF_seed42,block7d,840,0.3262,0.6357,0.3095,0.4888,0.9526,0.646,0.4771,4.8552,3.1004,14.35,16.2,261,273,13,293
SingleStageRF_seed42,block30d,840,0.3262,0.6631,0.3369,0.4722,0.9599,0.633,0.463,6.089,3.7304,19.43,21.17,263,294,11,272
SingleStageRF_seed42,netblock30d,840,0.2548,1.0,0.7452,0.2548,1.0,0.4061,0.2548,5.8339,3.699,22.22,22.68,214,626,0,0
SingleStageRF_seed42,mar_meteo,417,0.3189,0.5803,0.2614,0.5207,0.9474,0.672,0.506,5.204,2.9902,16.25,19.85,126,116,7,168
SingleStageRF_seed42,mnar_wet,417,0.5564,0.6882,0.1319,0.7596,0.9397,0.8401,0.7243,5.5164,3.4218,15.98,17.21,218,69,14,116
SingleStageRF_seed42,mnar_intensity_moderate,417,0.5612,0.7506,0.1894,0.722,0.9658,0.8263,0.704,7.6527,5.1181,15.96,17.92,226,87,8,96
SingleStageRF_seed42,mnar_intensity_severe,417,0.7986,0.8513,0.0528,0.9099,0.97,0.939,0.8849,10.1101,7.1298,19.52,21.56,323,32,10,52
SingleStageRF_seed123,10pct,416,0.3389,0.637,0.2981,0.5208,0.9787,0.6798,0.5149,5.3126,3.1996,14.73,17.92,138,127,3,148
SingleStageRF_seed123,20pct,833,0.3673,0.6711,0.3037,0.5098,0.9314,0.659,0.4914,4.6506,2.9136,12.27,14.59,285,274,21,253
SingleStageRF_seed123,block7d,840,0.3262,0.6333,0.3071,0.4925,0.9562,0.6501,0.4816,4.9075,3.1167,14.22,16.21,262,270,12,296
SingleStageRF_seed123,block30d,840,0.3262,0.6821,0.356,0.4572,0.9562,0.6187,0.4479,6.1048,3.719,19.26,21.11,262,311,12,255
SingleStageRF_seed123,netblock30d,840,0.2548,1.0,0.7452,0.2548,1.0,0.4061,0.2548,5.8587,3.6979,22.29,22.73,214,626,0,0
SingleStageRF_seed123,mar_meteo,417,0.3189,0.5971,0.2782,0.506,0.9474,0.6597,0.4922,5.1916,3.0174,16.37,19.67,126,123,7,161
SingleStageRF_seed123,mnar_wet,417,0.5564,0.6835,0.1271,0.7614,0.9353,0.8395,0.7233,5.5756,3.4316,16.24,17.41,217,68,15,117
SingleStageRF_seed123,mnar_intensity_moderate,417,0.5612,0.765,0.2038,0.7147,0.9744,0.8246,0.7015,7.6394,5.0966,15.89,17.85,228,91,6,92
SingleStageRF_seed123,mnar_intensity_severe,417,0.7986,0.8561,0.0576,0.9104,0.976,0.942,0.8904,10.1074,7.1107,19.53,21.56,325,32,8,52
SingleStageRF_seed456,10pct,416,0.3389,0.6274,0.2885,0.5249,0.9716,0.6816,0.517,5.326,3.231,14.73,17.87,137,124,4,151
SingleStageRF_seed456,20pct,833,0.3673,0.6579,0.2905,0.5164,0.9248,0.6628,0.4956,4.6503,2.9323,12.16,14.5,283,265,23,262
SingleStageRF_seed456,block7d,840,0.3262,0.6262,0.3,0.4981,0.9562,0.655,0.487,4.9006,3.1045,14.61,16.53,262,264,12,302
SingleStageRF_seed456,block30d,840,0.3262,0.6786,0.3524,0.4632,0.9635,0.6256,0.4552,6.1137,3.7233,19.47,21.3,264,306,10,260
SingleStageRF_seed456,netblock30d,840,0.2548,1.0,0.7452,0.2548,1.0,0.4061,0.2548,5.8277,3.7005,22.18,22.65,214,626,0,0
SingleStageRF_seed456,mar_meteo,417,0.3189,0.5803,0.2614,0.5165,0.9398,0.6667,0.5,5.1665,2.9672,16.22,19.79,125,117,8,167
SingleStageRF_seed456,mnar_wet,417,0.5564,0.6763,0.1199,0.7624,0.9267,0.8366,0.7191,5.5293,3.4296,16.07,17.21,215,67,17,118
SingleStageRF_seed456,mnar_intensity_moderate,417,0.5612,0.7554,0.1942,0.7206,0.9701,0.827,0.705,7.6502,5.1094,15.95,17.94,227,88,7,95
SingleStageRF_seed456,mnar_intensity_severe,417,0.7986,0.8537,0.0552,0.9101,0.973,0.9405,0.8877,10.1333,7.13,19.57,21.65,324,32,9,52
