scenario,method,bias,f1,csi,rmse_wet,rmse_p95,bias_std,f1_std,csi_std,rmse_wet_std,rmse_p95_std,bias_fmt,f1_fmt,csi_fmt,rmse_wet_fmt,rmse_p95_fmt
10pct,Mean,0.678,0.4871,0.322,5.9371,23.43,,,,,,0.6780,0.4871,0.3220,5.94,23.43
10pct,Linear,0.043,0.7311,0.5761,5.7493,19.61,,,,,,0.0430,0.7311,0.5761,5.75,19.61
10pct,KNN,0.6753,0.4881,0.3228,6.9502,23.65,,,,,,0.6753,0.4881,0.3228,6.95,23.65
10pct,MICE,0.6753,0.4881,0.3228,6.2635,21.36,,,,,,0.6753,0.4881,0.3228,6.26,21.36
10pct,WGAN-GP (raw),0.678,0.48710000000000003,0.322,6.7746666666666675,26.156666666666666,0.0,6.798699777552591e-17,0.0,0.19819173376640414,0.47542963026438834,0.6780†,0.4871†,0.3220†,6.77 ± 0.198,26.16 ± 0.475
10pct,PrecipFix,0.0045,0.3559666666666666,0.21666666666666667,8.864533333333334,25.24,0.0032449961479175905,0.019814725164213946,0.014571661996262926,0.18640271814899423,0.14798648586948693,0.0045 ± 0.00324,0.3560 ± 0.01981,0.2167 ± 0.01457,8.86 ± 0.186,25.24 ± 0.148
10pct,Precip2Stage,-0.0009000000000000001,0.742,0.5898,7.7792,23.383333333333336,1.3278710503032405e-19,0.0,0.0,0.12408835561808337,0.6557692683660409,-0.0009†,0.7420†,0.5898†,7.78 ± 0.124,23.38 ± 0.656
10pct,DLPIF,-0.0009000000000000001,0.742,0.5898,5.119,16.733333333333334,1.3278710503032405e-19,0.0,0.0,0.022009316209278387,0.0450924975282289,-0.0009†,0.7420†,0.5898†,5.12 ± 0.022,16.73 ± 0.045
20pct,Mean,0.6547,0.5133,0.3453,5.8544,20.52,,,,,,0.6547,0.5133,0.3453,5.85,20.52
20pct,Linear,0.048,0.7359,0.5821,5.4969,15.6,,,,,,0.0480,0.7359,0.5821,5.50,15.60
20pct,KNN,0.6507,0.5135,0.3455,6.5273,20.15,,,,,,0.6507,0.5135,0.3455,6.53,20.15
20pct,MICE,0.6543,0.5135,0.3454,6.3965,18.55,,,,,,0.6543,0.5135,0.3454,6.40,18.55
20pct,WGAN-GP (raw),0.6547,0.5133,0.3453,6.7815,23.460000000000004,0.0,0.0,0.0,0.22303387635065652,0.44911023145771267,0.6547†,0.5133†,0.3453†,6.78 ± 0.223,23.46 ± 0.449
20pct,PrecipFix,-0.028999999999999998,0.3973,0.24810000000000001,8.067300000000001,23.103333333333335,0.016378949905290024,0.024738835865901202,0.019108375127153004,0.14482896809685547,0.14571661996262897,-0.0290 ± 0.01638,0.3973 ± 0.02474,0.2481 ± 0.01911,8.07 ± 0.145,23.10 ± 0.146
20pct,Precip2Stage,-0.005399999999999999,0.7801,0.6395,9.023366666666668,20.560000000000002,1.0622968402425924e-18,0.0,0.0,0.18104116474805773,0.1493318452306813,-0.0054†,0.7801†,0.6395†,9.02 ± 0.181,20.56 ± 0.149
20pct,DLPIF,-0.005399999999999999,0.7801,0.6395,4.8110333333333335,13.486666666666666,1.0622968402425924e-18,0.0,0.0,0.020549047017643544,0.1342882471898914,-0.0054†,0.7801†,0.6395†,4.81 ± 0.021,13.49 ± 0.134
block7d,Mean,0.6831,0.4813,0.3169,5.9625,20.94,,,,,,0.6831,0.4813,0.3169,5.96,20.94
block7d,Linear,0.0976,0.6579,0.4902,6.475,21.52,,,,,,0.0976,0.6579,0.4902,6.47,21.52
block7d,KNN,0.6778,0.4818,0.3173,6.4887,18.98,,,,,,0.6778,0.4818,0.3173,6.49,18.98
block7d,MICE,0.6807,0.4822,0.3177,6.1407,17.74,,,,,,0.6807,0.4822,0.3177,6.14,17.74
