freq_gt,freq_pred,bias,precision,recall,f1,csi,rmse_wet,mae_wet,tp,fp,fn,tn,mae_p95,rmse_p95,method,scenario,n_masked
0.322,1.0,0.678,0.322,1.0,0.4871,0.322,5.9371,4.0134,359,756,0,0,21.83,23.43,mean,10pct,1115
0.322,0.365,0.043,0.688,0.7799,0.7311,0.5761,5.7493,3.2439,280,127,79,629,16.33,19.61,linear,10pct,1115
0.322,0.9973,0.6753,0.3228,1.0,0.4881,0.3228,6.9502,4.4233,359,753,0,3,21.66,23.65,knn,10pct,1115
0.322,0.9973,0.6753,0.3228,1.0,0.4881,0.3228,6.2635,4.1557,359,753,0,3,18.69,21.36,mice,10pct,1115
0.322,1.0,0.678,0.322,1.0,0.4871,0.322,6.5658,3.721,359,756,0,0,24.17,25.67,WGAN-GP_raw_seed42,10pct,1115
0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.3453,5.8544,4.054,770,1460,0,0,19.52,20.52,mean,20pct,2230
0.3453,0.3933,0.048,0.691,0.787,0.7359,0.5821,5.4969,3.3067,606,271,164,1189,13.87,15.6,linear,20pct,2230
0.3453,0.996,0.6507,0.3458,0.9974,0.5135,0.3455,6.5273,4.1648,768,1453,2,7,18.29,20.15,knn,20pct,2230
0.3453,0.9996,0.6543,0.3454,1.0,0.5135,0.3454,6.3965,4.2528,770,1459,0,1,16.65,18.55,mice,20pct,2230
0.3453,1.0,0.6547,0.3453,1.0,0.5133,0.3453,6.5464,3.8135,770,1460,0,0,22.01,22.98,WGAN-GP_raw_seed42,20pct,2230
0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.3169,5.9625,4.1359,656,1414,0,0,19.72,20.94,mean,block7d,2070
0.3169,0.4145,0.0976,0.5804,0.7591,0.6579,0.4902,6.475,3.7782,498,360,158,1054,19.61,21.52,linear,block7d,2070
0.3169,0.9947,0.6778,0.3176,0.997,0.4818,0.3173,6.4887,4.0555,654,1405,2,9,17.45,18.98,knn,block7d,2070
0.3169,0.9976,0.6807,0.3177,1.0,0.4822,0.3177,6.1407,4.1466,656,1409,0,5,15.89,17.74,mice,block7d,2070
0.3169,1.0,0.6831,0.3169,1.0,0.4813,0.3169,6.5981,3.7773,656,1414,0,0,21.99,23.09,WGAN-GP_raw_seed42,block7d,2070
0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.3104,6.5396,4.4215,627,1393,0,0,19.9,21.13,mean,block30d,2020
0.3104,0.3589,0.0485,0.4428,0.512,0.4749,0.3113,7.7057,4.7171,321,404,306,989,21.42,23.03,linear,block30d,2020
0.3104,0.9921,0.6817,0.3124,0.9984,0.4759,0.3122,6.9443,4.4317,626,1378,1,15,17.98,19.98,knn,block30d,2020
0.3104,0.996,0.6856,0.3116,1.0,0.4752,0.3116,6.8043,4.523,627,1385,0,8,17.35,19.28,mice,block30d,2020
0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.3104,7.3146,4.1536,627,1393,0,0,22.5,23.59,WGAN-GP_raw_seed42,block30d,2020
