method,scenario,p95_thresh_mm,n_masked_precip,n_extreme,mae_p95,rmse_p95
linear,10pct,16.74,1113,13,16.33,19.61
knn,10pct,16.74,1113,13,21.66,23.65
mice,10pct,16.74,1113,13,18.69,21.36
SAITS_seed123,10pct,16.74,1113,13,24.15,25.7
linear,20pct,16.74,2227,36,13.87,15.6
knn,20pct,16.74,2227,36,18.29,20.15
mice,20pct,16.74,2227,36,16.65,18.55
SAITS_seed123,20pct,16.74,2227,36,21.92,22.86
linear,block7d,16.74,2070,30,19.61,21.52
knn,block7d,16.74,2070,30,17.45,18.98
mice,block7d,16.74,2070,30,15.89,17.74
SAITS_seed123,block7d,16.74,2070,30,21.13,22.19
linear,block30d,16.74,2020,38,21.42,23.03
knn,block30d,16.74,2020,38,17.98,19.98
mice,block30d,16.74,2020,38,17.35,19.28
SAITS_seed123,block30d,16.74,2020,38,22.08,23.28
