method,scenario,freq_gt,freq_pred,bias,precision,recall,F1,CSI,RMSE_wet,tp,fp,fn,tn,n_masked
linear,10pct,0.3226,0.3657,0.0431,0.688,0.7799,0.7311,0.5761,5.7493,280,127,79,627,1113
knn,10pct,0.3226,0.9973,0.6748,0.3234,1.0,0.4888,0.3234,6.9502,359,751,0,3,1113
mice,10pct,0.3226,0.9973,0.6748,0.3234,1.0,0.4888,0.3234,6.2635,359,751,0,3,1113
SAITS_seed123,10pct,0.3226,0.3747,0.0521,0.6379,0.7409,0.6856,0.5216,6.5655,266,151,93,603,1113
linear,20pct,0.3458,0.3938,0.048,0.691,0.787,0.7359,0.5821,5.4969,606,271,164,1186,2227
knn,20pct,0.3458,0.996,0.6502,0.3463,0.9974,0.5141,0.3459,6.5273,768,1450,2,7,2227
mice,20pct,0.3458,0.9996,0.6538,0.3459,1.0,0.514,0.3459,6.3965,770,1456,0,1,2227
SAITS_seed123,20pct,0.3458,0.4203,0.0745,0.6239,0.7584,0.6846,0.5205,6.4989,584,352,186,1105,2227
linear,block7d,0.3169,0.4145,0.0976,0.5804,0.7591,0.6579,0.4902,6.475,498,360,158,1054,2070
knn,block7d,0.3169,0.9947,0.6778,0.3176,0.997,0.4818,0.3173,6.4887,654,1405,2,9,2070
mice,block7d,0.3169,0.9976,0.6807,0.3177,1.0,0.4822,0.3177,6.1407,656,1409,0,5,2070
SAITS_seed123,block7d,0.3169,0.4014,0.0845,0.5692,0.721,0.6362,0.4665,6.4386,473,358,183,1056,2070
linear,block30d,0.3104,0.3589,0.0485,0.4428,0.512,0.4749,0.3113,7.7057,321,404,306,989,2020
knn,block30d,0.3104,0.9921,0.6817,0.3124,0.9984,0.4759,0.3122,6.9443,626,1378,1,15,2020
mice,block30d,0.3104,0.996,0.6856,0.3116,1.0,0.4752,0.3116,6.8043,627,1385,0,8,2020
SAITS_seed123,block30d,0.3104,0.5,0.1896,0.496,0.799,0.6121,0.441,7.1622,501,509,126,884,2020
